Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,61.71,59.3,58.24,58.53,61.48,59.34,58.28,59.65,113.53,106.53,107.07,103.29,114.44,107.09,108.4,102.82,61.5,58.36,57.67,59.14,62.17,59.43,57.63,58.88,113.08,107.75,107.56,103.23,114.36,108.49,107.76,104.13,62.23,59.67,58.27,59.48,61.95,59.0,58.43,59.58,113.67,108.2,108.09,103.99,114.56,109.32,108.93,102.85,62.12,58.6,57.4,58.76,61.81,59.14,57.92,59.13,112.7,107.67,107.79,103.65,114.68,108.88,108.94,103.11
2,61.74,59.1,58.16,58.53,61.62,59.27,58.28,59.6,113.81,106.56,107.13,103.31,114.94,107.05,108.32,102.9,61.56,58.21,57.67,59.15,62.31,59.4,57.63,58.84,113.59,107.68,107.75,103.28,114.53,108.56,107.63,104.29,62.29,59.54,58.32,59.47,61.9,58.79,58.35,59.48,114.15,108.15,108.0,103.78,114.98,109.25,108.81,102.93,62.49,58.49,57.34,58.51,62.0,59.0,57.82,59.12,112.8,107.6,107.63,103.82,115.01,108.77,108.68,103.06
3,61.54,59.24,58.21,58.51,61.56,59.25,58.28,59.62,113.94,106.32,107.14,103.33,115.04,107.2,108.35,102.86,61.4,58.16,58.17,59.04,62.35,59.43,57.56,58.81,113.6,107.67,107.7,103.35,114.85,108.64,107.84,104.33,62.41,59.31,58.23,59.43,61.84,58.73,58.37,59.46,114.22,108.18,108.09,103.82,115.07,109.01,108.84,102.88,62.63,58.54,57.38,58.48,61.81,58.91,58.14,59.17,112.7,107.77,107.6,103.81,115.18,108.74,108.72,102.98
4,61.59,59.03,58.11,58.55,61.61,59.28,58.28,59.57,114.12,106.16,107.19,103.34,115.03,106.82,108.39,102.82,61.36,58.26,57.87,59.02,62.42,59.38,57.62,58.85,113.63,107.72,107.61,103.29,114.8,108.56,108.76,104.32,62.43,59.36,58.23,59.47,62.01,58.73,58.35,59.47,114.35,108.17,108.05,103.79,115.16,109.16,108.83,102.76,62.7,58.52,57.34,58.5,61.9,58.87,57.84,59.15,112.7,107.85,107.64,103.84,115.08,108.82,108.71,102.94
5,62.22,58.86,57.74,58.66,61.75,59.2,58.29,59.54,114.21,106.1,107.22,103.33,115.11,107.04,108.31,102.59,61.44,58.27,57.68,58.97,62.42,59.39,57.54,58.75,113.58,107.75,107.6,103.3,114.9,108.51,108.57,104.28,62.44,59.51,58.25,59.42,61.98,58.64,58.41,59.49,114.46,108.25,108.1,103.88,115.27,109.01,108.86,102.8,62.73,58.47,57.36,58.61,61.93,58.83,58.11,59.19,112.75,107.92,107.61,103.89,115.14,108.71,108.82,102.99
6,62.52,59.13,57.7,58.59,61.87,59.28,58.36,59.64,114.27,106.07,107.2,103.37,115.14,106.84,108.42,102.58,61.34,58.27,57.7,58.97,62.43,59.41,57.57,58.67,113.61,107.7,107.74,103.28,114.9,108.36,108.1,104.36,62.46,59.52,58.25,59.23,61.94,58.62,58.29,59.44,114.49,108.18,108.01,103.89,115.25,109.06,108.88,102.8,62.7,58.65,57.42,58.86,61.8,58.76,58.05,59.14,112.82,107.78,107.66,103.87,115.16,108.82,108.72,103.02
7,61.78,59.09,57.55,58.36,61.95,59.21,58.35,59.86,114.27,106.1,107.27,103.4,115.23,107.07,108.38,102.65,61.34,58.27,57.69,59.05,62.55,59.43,57.55,58.62,113.66,107.63,107.62,103.37,114.95,108.43,108.01,104.37,62.44,59.29,58.29,59.17,61.91,58.77,58.35,59.49,114.48,108.18,108.15,104.05,115.23,109.06,108.78,102.79,62.71,58.44,57.37,58.53,61.92,58.72,57.98,59.17,113.04,107.85,107.63,103.85,115.2,108.9,108.76,102.92
8,61.83,58.88,57.46,58.33,61.83,59.29,58.29,59.39,114.19,106.2,107.29,103.43,115.02,107.1,108.7,102.69,61.32,58.33,57.69,59.01,62.58,59.4,57.57,58.7,113.68,107.38,107.59,103.61,114.89,108.55,108.08,104.32,62.52,59.41,58.37,59.15,61.95,59.01,58.35,59.41,114.42,108.12,108.05,103.96,115.26,109.06,108.79,102.72,62.76,58.5,57.32,58.55,61.89,58.76,58.03,59.21,113.29,107.87,107.64,103.87,115.15,108.99,108.84,102.85
9,61.78,58.91,57.74,58.33,61.84,59.19,58.23,59.39,113.26,106.41,107.23,103.44,114.91,107.2,108.49,102.73,61.4,58.35,57.65,59.06,62.5,59.43,57.55,58.56,113.68,107.4,107.64,103.48,114.94,108.49,108.1,104.3,62.55,59.28,58.45,59.0,62.15,59.14,58.3,59.43,114.38,108.13,108.1,103.99,115.25,109.11,108.81,102.67,62.71,58.46,57.35,58.49,61.98,58.64,57.98,59.35,113.39,107.83,107.63,103.85,115.17,108.91,108.76,102.82
10,61.87,58.83,57.44,58.2,62.01,59.17,58.43,59.41,114.21,106.02,107.35,103.47,114.97,107.16,108.39,102.64,61.47,58.37,57.75,59.0,62.56,59.4,57.46,58.62,113.73,107.47,107.35,103.4,114.87,108.51,108.1,104.38,62.59,59.41,58.42,58.94,61.97,59.0,58.31,59.46,114.42,108.16,108.15,103.84,115.22,109.42,108.86,102.72,62.78,58.49,57.32,58.6,61.97,58.65,57.96,59.51,113.59,107.88,107.61,103.76,115.18,108.9,108.83,102.85
