Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,59.17,57.15,56.17,56.63,59.82,57.62,56.4,57.81,111.78,105.23,104.03,101.92,113.25,105.58,106.08,101.39,59.32,56.9,55.48,57.29,60.37,57.87,56.6,56.98,110.49,105.77,105.33,101.86,112.62,107.21,105.9,102.63,60.27,57.68,56.38,57.71,59.83,57.2,56.45,57.85,112.02,106.7,105.71,102.39,112.99,107.62,106.76,101.36,60.4,57.4,55.57,57.0,59.79,57.29,56.1,57.36,110.7,105.87,105.44,101.93,112.87,107.57,106.56,103.18
2,58.83,57.2,56.29,56.61,59.67,57.65,56.46,57.92,111.59,105.36,103.9,101.96,112.92,105.55,106.1,101.33,59.33,56.86,55.56,57.3,60.27,57.95,56.63,57.0,110.45,106.03,105.37,101.87,112.39,107.24,105.6,102.66,60.16,57.71,56.37,57.73,59.86,57.19,56.7,57.84,111.84,106.83,105.85,102.46,112.72,107.74,106.82,101.29,60.33,57.38,55.67,56.93,59.79,57.19,56.04,57.42,110.79,105.84,105.46,101.83,112.62,107.53,106.57,103.24
3,59.26,57.29,56.25,56.62,59.6,57.64,56.45,57.93,111.23,105.11,103.92,101.9,112.78,105.56,106.19,101.37,59.35,56.85,55.63,57.27,60.22,57.94,56.64,57.06,110.39,106.24,105.36,101.9,112.19,107.26,105.49,102.64,60.11,57.73,56.42,57.73,59.87,57.26,56.49,57.75,111.76,106.9,106.05,102.48,112.48,107.73,107.02,101.3,60.3,57.37,55.7,56.9,59.77,57.17,55.98,57.52,110.8,105.64,105.5,101.93,112.6,107.57,106.65,103.3
4,59.49,57.32,56.27,56.64,59.56,57.72,56.46,57.88,111.06,105.02,104.17,101.92,112.33,105.62,106.22,101.35,59.39,56.87,55.64,57.29,60.19,57.94,56.64,57.08,109.96,106.17,105.4,101.86,112.24,107.24,105.38,102.66,60.07,57.8,56.45,57.72,59.91,57.25,56.47,57.8,111.6,106.89,105.98,102.5,112.54,107.78,106.92,101.34,60.33,57.43,55.66,56.87,59.8,57.17,55.96,57.53,110.72,105.48,105.54,102.02,112.55,107.63,106.67,103.32
5,59.98,57.34,56.25,56.66,59.53,57.66,56.55,57.91,110.67,104.94,104.36,101.91,112.19,105.66,106.24,101.33,59.36,56.84,55.65,57.29,60.19,57.96,56.68,57.02,109.77,106.04,105.53,101.88,112.25,107.2,105.3,102.73,60.05,57.79,56.42,57.74,59.89,57.28,56.47,57.76,111.51,107.03,106.01,102.54,112.58,107.82,106.92,101.31,60.24,57.31,55.65,56.89,59.82,57.13,55.96,57.57,110.7,105.35,105.58,102.1,112.51,107.62,106.72,103.24
6,60.27,57.33,56.29,56.65,59.53,57.71,56.53,57.89,110.7,104.95,104.34,101.92,112.76,105.65,106.34,101.31,59.37,56.87,55.65,57.31,60.19,57.96,56.65,57.07,109.57,106.09,105.47,101.92,112.23,107.34,105.29,102.85,60.05,57.85,56.45,57.78,59.9,57.26,56.49,57.76,111.46,107.0,106.02,102.54,112.59,107.83,106.92,101.29,60.25,57.3,55.67,56.89,59.8,57.11,55.93,57.54,110.53,105.2,105.64,102.1,112.48,107.59,106.71,103.27
7,60.34,57.35,56.34,56.64,59.52,57.74,56.53,57.94,110.46,104.88,104.44,101.93,112.37,105.44,106.38,101.33,59.33,56.92,55.69,57.29,60.17,57.97,56.65,57.09,109.55,106.16,105.57,101.97,112.21,107.14,105.15,102.88,60.0,57.85,56.45,57.75,59.92,57.25,56.45,57.78,111.37,106.92,106.1,102.53,112.51,107.83,107.0,101.32,60.26,57.23,55.66,56.92,59.82,57.16,55.92,57.5,110.47,105.15,105.59,102.2,112.52,107.58,106.72,103.26
8,60.37,57.41,56.31,56.7,59.52,57.74,56.53,57.9,108.29,104.8,104.56,101.97,112.32,105.49,106.37,101.36,59.33,56.91,55.69,57.33,60.15,57.95,56.65,57.07,109.53,106.17,105.56,101.99,112.2,107.16,105.07,103.9,59.98,57.86,56.46,57.77,59.88,57.25,56.49,57.74,111.39,106.96,106.04,102.55,112.5,107.86,106.91,101.36,60.22,57.21,55.68,56.97,59.8,57.16,55.9,57.44,110.28,105.22,105.62,102.18,112.49,107.63,106.76,103.22
9,60.51,57.45,56.32,56.66,59.51,57.7,56.57,57.91,107.59,104.84,104.62,101.99,112.34,105.5,106.4,101.37,59.29,56.88,55.72,57.41,60.2,58.02,56.67,57.05,106.89,106.18,105.31,102.03,112.18,107.18,105.11,102.87,59.98,57.87,56.45,57.76,59.97,57.21,56.5,57.76,111.32,106.89,106.04,102.57,112.5,107.93,107.01,101.35,60.21,57.2,55.71,56.91,59.79,57.11,55.9,57.4,110.21,105.43,105.67,102.19,112.48,107.68,106.78,103.25
10,60.15,57.39,56.28,56.66,59.48,57.72,56.53,57.89,107.5,104.73,104.65,102.08,112.28,105.49,106.31,101.39,59.31,56.86,55.74,57.38,60.17,57.97,56.67,57.07,106.77,105.81,105.33,102.07,112.19,107.27,105.08,102.82,59.97,57.83,56.43,57.77,59.92,57.23,56.52,57.76,111.3,106.85,106.02,102.52,112.51,107.84,106.92,101.35,60.15,57.18,55.65,56.95,59.84,57.25,55.84,57.35,110.13,105.59,105.65,102.21,112.56,107.62,106.8,103.21
