Name,Sigma,Kernel Size,Activator,Batch Size,Domain,Channels,Total runtime (seconds),Total runtime (minutes),Best Validation PSNR,Final Validation PSNR,Final Validation SSIM,Final Validation RMSE,Final Validation MAE,Final Validation MSE,Final Set12 PSNR,Final Set12 SSIM,Final Set12 RMSE,Final Set12 MAE,Final Set12 MSE
sigma15_k3_actrelu_bs8_image,15,3,relu,8,image,1,1788.37,29.81,31.6076,31.607575323816906,0.8934089091126773,0.02801262512553951,0.019442185293883085,0.0007847071664240074,32.605069618319085,0.9021587551566053,0.02362732731044462,0.016766100423410535,0.0005582505958348823
sigma15_k3_actrelu_bs8_fourier_complex,15,3,relu,8,fourier_complex,2,1858.04,30.97,51.1383,51.13829911106263,0.9982639679324627,0.003097458017020719,0.0017393047763856456,9.594246167205925e-06,50.620043801819484,0.9979528052249128,0.003208517831164217,0.0017352583527099341,1.0294586672898731e-05
sigma15_k3_actrelu_bs16_image,15,3,relu,16,image,1,1723.23,28.72,31.6762,31.676190037353148,0.8944268148235502,0.02788330129651764,0.019351909053511918,0.0007774784911923823,32.70081117749488,0.9027871469656427,0.023419298303971037,0.01666980772279203,0.0005484635330503806
sigma15_k3_actrelu_bs16_fourier_complex,15,3,relu,16,fourier_complex,2,1769.27,29.49,51.0059,51.00593956634597,0.997939452220213,0.0031362543403969647,0.0017204560503801879,9.8360912876588e-06,50.48298878907144,0.9976531477711629,0.0032537928945304607,0.001701558872203653,1.0587168200496913e-05
sigma15_k3_actrelu_bs32_image,15,3,relu,32,image,1,1689.6,28.16,31.61,31.60998888366458,0.892132599137387,0.02805536277510867,0.019538634312886966,0.0007871033804429531,32.62778623442261,0.9004788853373887,0.023614123742269462,0.01684216797972719,0.0005576268401152144
sigma15_k3_actrelu_bs32_fourier_complex,15,3,relu,32,fourier_complex,2,1722.88,28.71,50.2272,50.22720587095713,0.9969901854364641,0.0036011735996184296,0.0020248114442973234,1.2968451294588758e-05,50.03040270575278,0.9970412075177966,0.003424219991116063,0.0018102288789426286,1.172528254755889e-05
sigma15_k3_actrelu_bs64_image,15,3,relu,64,image,1,1700.23,28.34,31.454,31.45404704859853,0.8869562600345405,0.028458656458527534,0.01997515975552447,0.0008098951274244909,32.41210268255255,0.8949466990467161,0.024189944254426478,0.017379523099710543,0.0005851534030322606
sigma15_k3_actrelu_bs64_fourier_complex,15,3,relu,64,fourier_complex,2,1750.11,29.17,50.1932,50.193161727409404,0.9971454738779317,0.0033847413706115854,0.0018380950033829054,1.1456474145929592e-05,49.81105758655772,0.996768512759092,0.0035030217824934397,0.0018273730529472232,1.2271161608623515e-05
sigma15_k3_actleakyrelu_bs8_image,15,3,leakyrelu,8,image,1,1785.87,29.76,31.6639,31.663918120049107,0.8933519850633753,0.027924795949838918,0.019362349261748877,0.00077979422884014,32.69377866527177,0.9020953948945115,0.023442486805345164,0.016658620986466605,0.0005495501876187822
sigma15_k3_actleakyrelu_bs8_fourier_complex,15,3,leakyrelu,8,fourier_complex,2,1861.66,31.03,51.1216,51.121634093715784,0.998194721940888,0.003094541334906608,0.0016989060643348185,9.57618607344557e-06,50.63383163745841,0.9979061549404958,0.0032010663017391296,0.0016857169490928452,1.0246825468129828e-05
sigma15_k3_actleakyrelu_bs16_image,15,3,leakyrelu,16,image,1,1732.51,28.88,31.6356,31.635641462239597,0.8932623916223124,0.028002520827189518,0.019464738208197933,0.0007841411726771827,32.6577310149039,0.9017986971195078,0.023529465041318674,0.01674594924164315,0.0005536357251306375
sigma15_k3_actleakyrelu_bs16_fourier_complex,15,3,leakyrelu,16,fourier_complex,2,1778.01,29.63,51.0878,51.08784184004498,0.9980008696148983,0.00311912831015471,0.0016600078156710986,9.72896141520858e-06,50.630410222777385,0.9976945202607648,0.0032139493077376264,0.0016314230354813237,1.0329470152707168e-05
