Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,0.0034134428133256733,0.0041482191494045155,0.012718676123768091,0.010919782255465785,0.004739662321905295,0.0055907406300927205,0.008822178623328606,0.014955382949362198,0.0050578043252850575,0.018760881231476862,0.04359983125080665,0.0437812569240729,0.043738074911137424,0.041453233609596886,0.043620168852309384,0.04379799651602904,0.007786265496785442,0.007732486546350022,0.016185244855781395,0.01740699897830685,0.010722353355959058,0.00682133377995342,0.012876241390282908,0.019427950338770945,0.006396045132229726,0.009857070244227847,0.05602926264206568,0.06887805710236232,0.03559646887394289,0.012136646934474507,0.04378963044534127,0.0688706257690986,0.012603762559592724,0.015655252228801448,0.018949704865614574,0.027411978226155043,0.01132254123998185,0.01799769327044487,0.019201961811631918,0.0253693872752289,0.012233223222816983,0.4439512913425763,0.02606028566757838,0.12653987109661102,0.016455803687373798,0.019249320185432833,0.050870804426570736,0.12121076323091984,0.026391474530100822,0.026350051785508793,0.0345981124167641,0.04612566810101271,0.030140064656734467,0.02464595561226209,0.03351167278985182,0.04490155540406704,0.025657554312298696,0.03354017032931248,0.041237531850735344,0.17108809699614844,0.030459677800536156,0.03827802867939075,0.03334634161243836,0.20004297296206155
2,0.0037157287006266415,0.0041987268486991525,0.007701762292223672,0.007357053575105965,0.003977859179334094,0.004346058665153881,0.00667546041465054,0.009735524343947569,0.04373495404918989,0.005566413436705868,0.043714951102932297,0.04352907557040453,0.004329350194893777,0.0055285291746258736,0.035580633829037346,0.04373178631067276,0.004332834660696487,0.007497502917734285,0.011483144403124848,0.011958518764004111,0.006975779465089242,0.005342736491002142,0.006429272354580462,0.012690807692706585,0.00904534252670904,0.007391917635686696,0.024452302139252424,0.06859470220903556,0.0350848954791824,0.009013397386297584,0.011131896016498407,0.06893172301352024,0.007758480302679042,0.010536195167029897,0.01412703647899131,0.019235012742380302,0.007908853702247143,0.0158489802852273,0.013542441961665949,0.01828393805772066,0.01221238534587125,0.08249480525652568,0.013171996222808957,0.07027965721984704,0.019262430413315695,0.016240421527375776,0.0231016695809861,0.024158834014087915,0.015179980779066682,0.018563782796263695,0.022994518280029297,0.033013795502483845,0.01250899521013101,0.02240235110123952,0.02538227740054329,0.028894456724325817,0.022553556443502504,0.02104464794198672,0.03161252321054538,0.046041808711985745,0.0330018208672603,0.018326368027677137,0.028952477344622213,0.05041970064242681
3,0.0032548682453731694,0.0039097614159497125,0.005518673375869791,0.005616543775734802,0.00323901178004841,0.004655259777791798,0.004576974626009663,0.007564306608401239,0.030718968405077856,0.043863107450306416,0.02557571434105436,0.039490247455736004,0.0437442921102047,0.27643878509600955,0.005739322242637475,0.0438135846828421,0.004935724971195062,0.00563243431194375,0.009722486526394883,0.00946586555801332,0.005233583118145664,0.005959443165920675,0.004796874981063108,0.010374966387947401,0.0036803105613216758,0.004159716481808573,0.01637995693211754,0.06826850585639477,0.05682499178995689,0.004350684175733477,0.008018172501275936,0.061826519978543125,0.007693901425227523,0.012073007645085454,0.011301440807680288,0.015489430166780949,0.009350325058524808,0.01222864918721219,0.009860898290450374,0.014901704931010803,0.028078300257523853,0.018952397629618645,0.011123178681979576,0.02457432309165597,0.11775471953054269,0.06875126746793588,0.017028641887009144,0.017361671508600313,0.013073741535966596,0.013505425614615282,0.01801112045844396,0.024686067675550778,0.012605357371891538,0.017636777988324564,0.02112364520629247,0.025334765513737995,0.014698139935111007,0.026125984887282055,0.025953618188699085,0.03708169236779213,0.037249600825210415,0.04943841757873694,0.032697859685868025,0.03793169651180506
4,0.003386315288177381,0.003551325974209855,0.004379725161318977,0.006856608825425307,0.0025317256416504583,0.002783004155692955,0.003476095541069905,0.006414769062151511,0.0056697703354681534,0.043658596773942314,0.012003321821490923,0.02102151745930314,0.04372825752943754,0.043828417857488,0.0052461252780631185,0.043690371637543045,0.004210009064991027,0.0044299600801120205,0.02387876808643341,0.007426918794711431,0.00579761383899798,0.0038017433253116906,0.006610547037174304,0.008850695642953118,0.005358265596441925,0.005641910363920033,0.017454346486677725,0.0635536868746082,0.009401895105838776,0.004652805432366828,0.008971262102325758,0.02768224695076545,0.007478592684492469,0.008705786351735393,0.011171681884055337,0.01384291285648942,0.007739046433319648,0.009870188388352593,0.008863341296091676,0.012838776999463638,0.01976028084754944,0.016077341279014945,0.010810413785899678,0.02824263321235776,0.010697795621429881,0.015343025171508392,0.015947869513183832,0.014802812210594615,0.011577294363329807,0.01592768495902419,0.021503619849681854,0.02122456192349394,0.012085448019206524,0.018063833937048912,0.017282508468876284,0.021224500766644876,0.021499578685810167,0.02832647506147623,0.02693739579990506,0.03701315075159073,0.014415875698129335,0.015457359608262777,0.019069611715773743,0.02796910625572006
5,0.002545920879735301,0.00408808421343565,0.004832334583625197,0.0040768065373413265,0.002332252993558844,0.004084314083835731,0.003426572948228568,0.005634963939276834,0.003522072045598179,0.04030789310733477,0.004165161168202758,0.009233322615424791,0.03222988980511824,0.04404637465874354,0.0052180985221639276,0.043515538796782494,0.004134007302733759,0.005759113856280844,0.007986648279863099,0.006312244882186254,0.005508408881723881,0.005177099451733132,0.005412809511957069,0.009556502026195327,0.005466218766135474,0.004096065667302658,0.007952770334668458,0.05112715344876051,0.005523602517011265,0.06895805212358634,0.008590300877888998,0.010480892844498158,0.006317810931553443,0.008853587166716656,0.008220168218637506,0.011490267080565294,0.0063008196496715145,0.011736454519753655,0.009568158614759644,0.011671795975416899,0.00956512646128734,0.014557523575300971,0.008607376522074143,0.022656051131586235,0.01138879630404214,0.12840707724293074,0.05571096235265335,0.014531082706525922,0.008972669874007503,0.015867893273631733,0.014596128448223075,0.019006996260335047,0.010307404523094496,0.014180256131415566,0.015378311198825637,0.020503354414055746,0.02270675419519345,0.02423174741367499,0.027223997594167788,0.024842754782487948,0.041372591319183506,0.013041932601481676,0.027241026672224205,0.025881781708449125
6,0.002622703517166277,0.0025254430365748703,0.004934293256762127,0.0037260057482247553,0.0034729769686236978,0.002872695156838745,0.0051315218054999905,0.004983121684441964,0.003259005471287916,0.03192646956692139,0.0058589573406303925,0.006743594305589795,0.0038758227795672915,0.044066911563277245,0.011682262644171715,0.04321012614915768,0.004140723516078045,0.004070738524508973,0.00716775469481945,0.006295933116537829,0.004890181163015465,0.007213589580108722,0.005309440583611528,0.007990640471689403,0.0035994433565065265,0.003972617443650961,0.009015537410353621,0.03401422252257665,0.00542824676570793,0.06885854216913383,0.00838831765577197,0.008340697463912269,0.006717248160081605,0.00835482869297266,0.007077728398144245,0.010066093721737465,0.007718199320758383,0.012296676325301329,0.009435160318389535,0.00983384670689702,0.01058925362303853,0.012433067507420978,0.009027375529209772,0.021383937293042738,0.008260655760144195,0.09597464029987653,0.02459600552295645,0.009798323657984534,0.011116180879374346,0.011932930521046122,0.01723356017222007,0.017259069873640936,0.009724616538733244,0.012527985731139779,0.012313164537772536,0.015978780187045533,0.012449611987297734,0.02069779857993126,0.03548846828440825,0.023792409027616184,0.014371830271556973,0.014047587368016442,0.028972197479257982,0.02091842982918024
7,0.004629102108689646,0.0028547822148539126,0.009707902480537692,0.0036573042549813786,0.007480231928639114,0.00272212332735459,0.0034718726528808475,0.004597031084510188,0.002573471788006524,0.03281310324867567,0.0029229640301006534,0.007121841345603268,0.005173635319806635,0.04399913673599561,0.002856899576727301,0.04131143602232138,0.005957925110124052,0.003461908607278019,0.00701986455048124,0.005314411440243323,0.003885987486379842,0.004359014914371073,0.003880483350561311,0.007294415341069301,0.004519384975234668,0.06903512092928092,0.010428084836651882,0.016032981919124722,0.005869080778211355,0.06888162593046825,0.004130796471145004,0.006587594553517799,0.006223363646616538,0.009061081179728111,0.015543065344293913,0.010304770121971766,0.006007409654557705,0.008564454348136982,0.010049817695592841,0.008983738021925092,0.013734490998710195,0.014619576356684169,0.00804109793777267,0.018210846775521834,0.00744552359295388,0.019169459274659555,0.023191289665798347,0.010651378504311046,0.008968311672409376,0.011732121696695685,0.009982176513100663,0.021312293751786154,0.010167974280193448,0.012191875527302424,0.012270586953187982,0.016810322335610788,0.014605298095072309,0.02042701095342636,0.03152654428655902,0.018303868050376575,0.013293201879908642,0.012052624253556132,0.025410589141150314,0.028525504904488724
8,0.003544819677093377,0.003312522196210921,0.0030341672051387527,0.003193364381634941,0.00234353169798851,0.002648786389424155,0.005636621305408577,0.004909006878733635,0.004117665501932303,0.013413210477059087,0.0062301505434637265,0.004570550556915502,0.002407423802651465,0.03722635066757599,0.005243355136675139,0.028156008726606768,0.0053660662767166896,0.003408114678071191,0.006975974926414589,0.004342432192061096,0.005092216461586456,0.0031544759209888675,0.004021993741237869,0.00782197512065371,0.0041153936375242966,0.06852916441857815,0.013075076897318164,0.012535426920900742,0.0035158717849602303,0.06919876920680205,0.004065536117802064,0.005854776439567407,0.008003592025488615,0.014012637470538417,0.013924794038757682,0.009508312757437428,0.008469724096357822,0.009273977872605125,0.006809725193306804,0.009389635951568684,0.014641054285069307,0.00976082511867086,0.008527239008496204,0.016269021667540073,0.004123957459038745,0.010554713197052479,0.024403218335161608,0.00750143313780427,0.008788838982582092,0.008482798390711347,0.011388700222596526,0.013863934902474284,0.009294850829367837,0.009275493755315741,0.013418945639083782,0.01616144141492744,0.013169230970864495,0.015344595381369194,0.02234858988473813,0.032590179704129696,0.019198241643607616,0.008702141465619206,0.011560173472389579,0.020970686649282772
9,0.002586711198091507,0.002532606439975401,0.004024559146879862,0.012188166845589876,0.0026297936177191636,0.0038650440401397645,0.0033269761285434165,0.004757696607460578,0.0020241621823515743,0.004358992135773103,0.00475497986190021,0.004653335393716891,0.0019555451387229064,0.009202871626863876,0.0037724485349220536,0.007029744641234477,0.005638526054099202,0.0033178316662088037,0.008992329084624847,0.004156823580463727,0.004106280665534238,0.00422195599336798,0.0038567726927188537,0.006479576230049133,0.0047183023222411675,0.04576929317166408,0.012136383758236965,0.01124079960087935,0.0059651378930235905,0.047314935053388275,0.0050902671258275705,0.015199291830261549,0.005287160320828359,0.006411609938368201,0.006727717739219467,0.007545903169860442,0.004942891886457801,0.007938670925796032,0.006058230996131897,0.007662782406744857,0.0066288100788369775,0.0112720662727952,0.012667376160000762,0.021622263515988987,0.008475044121344885,0.029341844997058313,0.014178880335142216,0.010517403250560164,0.006923817136945824,0.010035708546638489,0.013259733561426401,0.014777746982872486,0.008688186450550953,0.011111645105605325,0.012745933684830865,0.011678748220826188,0.010701009926075736,0.017289327767988045,0.02074864972382784,0.02422194741666317,0.015793776760498684,0.013191137928515673,0.018813528586179018,0.022299370262771845
10,0.0019263362337369472,0.002941919102643927,0.004011078737676144,0.0036324384079004326,0.0025240848578202226,0.002820908538221071,0.004685259462955098,0.003581150008055071,0.003941896798399587,0.004015775863081217,0.0024094850038333484,0.0053410088100160165,0.002195692698781689,0.004878808472615977,0.0029048130575877926,0.004903947585262358,0.0038748090737499297,0.0069231522890428705,0.007161506451666355,0.004674244167593618,0.004188065029059847,0.0035434414943059287,0.007205374926949541,0.005954462608012061,0.0031774109229445457,0.04681283111373583,0.06966927088797092,0.012775114194179574,0.004938281568077703,0.00787899763478587,0.06926657631993294,0.00500281904047976,0.006605445678966741,0.008628998960678777,0.008929821895435452,0.007110093836672604,0.006559340128054221,0.0064571036491543055,0.006338478492883344,0.00918507327636083,0.013717769800374905,0.010229288910826048,0.007856000564061105,0.013696601148694754,0.008155192791794738,0.00910924181031684,0.006999620934948325,0.008504112949594855,0.008493222684289018,0.007788937189616263,0.010179335173840324,0.014560973970219493,0.01582400353314976,0.010171388120700916,0.015212139347568154,0.014440514845773578,0.008196212661763033,0.02208682258302967,0.011445701975996295,0.026243680932869513,0.026495101551214855,0.016702796487758558,0.01641837538530429,0.032263513654470444
