Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,0.022835715673863888,0.025308355689048767,0.021871160715818405,0.0245149414986372,0.022076846410830814,0.02052653379117449,0.02311037868882219,0.04648348440726598,0.02306901275490721,0.04675603751093149,0.04668488788108031,0.046699395713706814,0.05760849453508854,0.04699413881947597,0.04672371596097946,0.04672452093412479,0.028672495546440285,0.02665720010797183,0.02822847804054618,0.0329580365990599,0.028297933594634134,0.02635157589490215,0.029420371477802593,0.038147952718039356,0.050646211641530194,0.07747021627922852,0.07702554948627949,0.07703322979311149,0.05668638925999403,0.07741956102351348,0.077515438819925,0.07700858327249686,0.038471267403413854,0.04033804219216108,0.04203190592428049,0.043158414463202156,0.03939699257413546,0.03917896095663309,0.039982257410883904,0.043071173752347626,0.039420834432045616,0.044203369257350765,0.14628128334879875,0.1453236130376657,0.039212954230606556,0.048036150013407074,0.1250294130295515,0.14719928056001663,0.05520912787566582,0.05680884172519048,0.06219368800520897,0.06558680875847737,0.05770782226075729,0.05681263686468204,0.06224805240829786,0.06527059370030959,0.06836084804187219,0.05614128243178129,0.08109994915624459,0.24075849230090776,0.056661500595510006,0.06709939024100701,0.06741720562179883,0.19097676749030748
2,0.020670832134783268,0.019856884609907866,0.01991224630425374,0.02099966863170266,0.01882025149340431,0.02014753610516588,0.022176706542571385,0.025484931965668995,0.04672329593449831,0.04616365488618612,0.04668501329918703,0.04668351883689562,0.046712201088666916,0.04670525062829256,0.04680473015954097,0.04670093860477209,0.031489095805833735,0.02493494702503085,0.026033727607379358,0.029437505019207794,0.0242468505166471,0.025670356582850218,0.02651756365473072,0.029428708367049694,0.029691068766017754,0.02655154187232256,0.0771577563136816,0.07700419798493385,0.026128679669151705,0.0311631519968311,0.04766484256833792,0.07700348645448685,0.038538447891672455,0.03829794656485319,0.0401283943404754,0.040247426368296146,0.0440308420608441,0.03940458005915085,0.03991132043302059,0.03969119365016619,0.03913841210305691,0.039026058899859585,0.0409581254546841,0.049649330166478954,0.14724421128630638,0.038205100068201624,0.04294840960452954,0.14748033260305723,0.053200748128195606,0.05384785030037165,0.05477279517799616,0.05970454557488362,0.05117128292719523,0.05655648776640495,0.05990553150574366,0.05987227521836758,0.06256022055943807,0.05826920922845602,0.06493570065746705,0.08206579399605592,0.054217206624646984,0.05726988706737757,0.0627462537959218,0.0673622777685523
3,0.01839003541196386,0.022460975218564272,0.019804713781923056,0.020281415122250717,0.01780396994824211,0.020202999468892813,0.02201507892459631,0.02236563789968689,0.0468474297473828,0.05411621307333311,0.04836508755882581,0.046678321125606693,0.051456646683315434,0.046692848205566406,0.04711614549160004,0.046693832613527775,0.02502961332599322,0.024431866593658924,0.02605292589093248,0.027833623501161735,0.024058095489939053,0.024540637464572985,0.02599094792579611,0.02752371070285638,0.07743579273422559,0.02536238683387637,0.07926098008950551,0.07705453845361869,0.07707858023544152,0.02911319707830747,0.028380379546433687,0.07694869488477707,0.03556941139201323,0.03594779192159573,0.037261005491018295,0.03920874744653702,0.034968932159245014,0.03893930635725459,0.03623452829197049,0.03887253409872452,0.04159791379546126,0.036343826757123075,0.08294161812712748,0.04379583181192478,0.14766823252042136,0.0378647445080181,0.03817059316982826,0.14581708485881487,0.0493843046327432,0.05162709423651298,0.058142983354628086,0.05880057159811258,0.051684184620777764,0.05110351244608561,0.05435213881234328,0.05884322834511598,0.050320945059259735,0.05375189799815416,0.057829539912442364,0.06489351764321327,0.05794653668999672,0.05151631900419792,0.055149078679581486,0.05813513447841009
4,0.01874212734401226,0.018767900299280882,0.018687239692856867,0.02245242102071643,0.020726068566242855,0.020421038071314495,0.019928983878344297,0.02405199579273661,0.04670088614026705,0.04676314194997152,0.022301262244582176,0.046685077250003815,0.047651972621679306,0.04665543387333552,0.04778024678428968,0.046921542224784694,0.024072165445735056,0.024069914283851784,0.024743119720369577,0.02691184279198448,0.02487380135183533,0.025677362456917763,0.025023244321346283,0.026701256011923153,0.07736020038525264,0.07703903752068679,0.0663033165037632,0.07698575717707475,0.0268637224410971,0.02641914878040552,0.026625550041596096,0.07690670651694138,0.0356496775833269,0.035395941231399775,0.03693553774307171,0.03779902464399735,0.03496571661283573,0.03654994939764341,0.03590045946960648,0.03762807619447509,0.03615336942796906,0.03814801201224327,0.03727175031478206,0.04074161903311809,0.04174539105345806,0.03597490691269437,0.3329111784696579,0.1009802408516407,0.051004075134793915,0.05077888940771421,0.054079772904515266,0.05867630957315365,0.05022065558781227,0.05146307467172543,0.05385733861476183,0.05661716343214115,0.05221089751770099,0.05091402679681778,0.056824690041442714,0.060295588336884975,0.05116431166728338,0.050737847574055195,0.05485830921679735,0.05882214133938154
5,0.01843730096394817,0.01844240538775921,0.018781202379614115,0.01920686832939585,0.019011114723980427,0.02107387858753403,0.019395414429406326,0.022156400450815756,0.04673198206971089,0.0478054474418362,0.04736831411719322,0.04668210446834564,0.046704379841685295,0.020290430790434282,0.043943363862733044,0.046773139387369156,0.023454537459959585,0.02428706067924698,0.0241199703887105,0.025742003538956244,0.023388933390378952,0.02398608314494292,0.025493744450310867,0.026495497208088636,0.07701808648804824,0.07713772418598334,0.03393254956851403,0.07719169681270917,0.02534668892621994,0.07702978265782197,0.02627473867808779,0.060480513920386635,0.03304431882376472,0.03514767158776522,0.03601481532678008,0.03699021119003495,0.03478918690234423,0.03386913721139232,0.04152291206022104,0.036658806881556906,0.03562947579969963,0.03486973357697328,0.035008097222695746,0.03843141750742992,0.04158993406842152,0.03428037775059541,0.03676904722427329,0.04623215273022652,0.048979551531374454,0.057012347814937435,0.050826835756500564,0.05369510284314553,0.04968706890940666,0.050361230969429016,0.051387542858719826,0.054197781098385654,0.04997865576297045,0.05190908039609591,0.05512352039416631,0.05812349977592627,0.05166318950553735,0.052697257759670414,0.05350057470301787,0.05432829757531484
6,0.017963387227306764,0.01803897328985234,0.01873038647075494,0.019331686819593113,0.017789371854936082,0.017908726275588076,0.019664925523102283,0.02079794028153022,0.04668786252538363,0.04677132455011209,0.04829805623739958,0.04667757265269756,0.019588594945768516,0.04674035621186098,0.02081937963763873,0.04685677029192448,0.02294673305004835,0.023551358686139185,0.023743548275281984,0.02578407945111394,0.023772924828032654,0.02334872803961237,0.07036041095852852,0.025791864997396868,0.0770264845341444,0.02800323674455285,0.030578662641346455,0.077042106539011,0.02482363845532139,0.076859125867486,0.027371032473941643,0.03254984458908439,0.0332031223612527,0.034230037281910576,0.03708866393814484,0.036817782248059906,0.033963464510937534,0.03950520449628433,0.034714424361785255,0.035940820816904306,0.03690557600930333,0.035382679818818964,0.03655910041804115,0.03789958575119575,0.037495362727592386,0.05985276525219282,0.03654562418038646,0.04487877587477366,0.0475076058258613,0.049891239032149315,0.05514975109448036,0.05461157330622276,0.04775588773190975,0.049549042557676636,0.05034519669910272,0.053418473030130066,0.04705723778655132,0.05131668814768394,0.05574818948904673,0.05783743845919768,0.06518051152427991,0.05643963937958082,0.05314655136317015,0.05407613515853882
7,0.017974203840518992,0.018211231799796224,0.01850807247683406,0.018899569287896156,0.017835625524943072,0.017840419818336766,0.018492282833904028,0.019588230177760124,0.04668119425574938,0.04669874751319488,0.04669408562282721,0.04668649937957525,0.018193227471783757,0.046806785898904,0.019744279483954113,0.046757109773655735,0.022814738874634106,0.022847498922298353,0.023618521479268868,0.02509682656576236,0.024860087006042402,0.0235290980587403,0.025626498119284708,0.027169648092240095,0.07699352751175563,0.02513126687457164,0.06361177594711383,0.07653871861596902,0.024930215285470087,0.07689234614372253,0.02695669699460268,0.029446500819176435,0.03295783683036765,0.03392731724306941,0.03704269494240483,0.03552822209894657,0.03347441786900163,0.0340069184700648,0.03456263290718198,0.03558994814132651,0.0337965190410614,0.03524049061040083,0.03729775579025348,0.037668604558954634,0.03756161437680324,0.03907520789653063,0.03532808553427458,0.041508015555640064,0.049369199511905514,0.04927996266633272,0.04973613377660513,0.05333835072815418,0.0472370625163118,0.04926140451182922,0.05059432083119949,0.052206373773515224,0.047872181671361126,0.04878287731359402,0.0557160209864378,0.055366821587085724,0.05881112813949585,0.050051582356294,0.05112415893624226,0.052622115239501
8,0.017457857495173812,0.0179899496336778,0.018008686214064557,0.018514240238194663,0.01734439516440034,0.02310788460696737,0.019293179580320913,0.019592692765096825,0.04668119425574938,0.04670615494251251,0.04670374530057112,0.046661139776309334,0.01777871558442712,0.046689205802977085,0.01917415081212918,0.04668345581740141,0.02264530211687088,0.02312907638649146,0.03594769351184368,0.024907945655286312,0.02274769777432084,0.02306267898529768,0.024097762691477936,0.02546363261838754,0.07698980160057545,0.024642793306459982,0.48463113357623416,0.044587207647661366,0.024064582927773397,0.077236316477259,0.02649733703583479,0.028501165254662435,0.03202883262808124,0.033370014590521656,0.03540416651715835,0.036349533746639885,0.03341894379506508,0.034742459965248905,0.03484388409803311,0.035222140761713185,0.035500499264647566,0.04424287906537453,0.03585208859294653,0.03637956796834866,0.04237134288996458,0.09596520041426022,0.034113085363060236,0.04099099896848202,0.0477187791839242,0.04677580979963144,0.0491733206436038,0.05281709569195906,0.047807659953832626,0.04776544403284788,0.049497405687967934,0.052208674450715385,0.046473221853375435,0.04777209864308437,0.05438317141185204,0.056567130610346794,0.04983065122117599,0.04787497501820326,0.06119810386250416,0.05065498873591423
9,0.018504508926222723,0.017467137503748138,0.018072466443603236,0.01835414068773389,0.01730691789028545,0.020841839257627726,0.018297918296108644,0.019450983343025047,0.04668119425574938,0.046687968696157135,0.04677357772986094,0.04652600114544233,0.0225953144642214,0.046682833383480705,0.018961476006855566,0.04672008318205675,0.022696702585866053,0.022881848737597466,0.026960657599071663,0.029839847857753437,0.022228574535499018,0.0228973055879275,0.024285531758020323,0.027740908165772755,0.07698978545765083,0.024333670114477474,0.07767521217465401,0.030463108327239752,0.024782724523295958,0.044373045985897384,0.024819032133867342,0.0319115100428462,0.032297313368568815,0.03303222497925162,0.03476864751428366,0.03581801662221551,0.032385032158344984,0.03363036240140597,0.0329386725400885,0.034743053217728935,0.03467155946418643,0.03345895869036516,0.033895888521025576,0.03641005139797926,0.04104932319993774,0.03872396176060041,0.03420206174875299,0.03935997746884823,0.04742757851878802,0.048158435771862663,0.05129066606362661,0.05107929060856501,0.04716519018014272,0.047269054067631565,0.04915204271674156,0.0517148170620203,0.045778969302773476,0.047086453375717006,0.05368134193122387,0.05791302708288034,0.05009047780185938,0.048471794463694096,0.0529467798769474,0.049225019911924996
10,0.01763506109515826,0.017381340730935335,0.018014245356122654,0.018693729148556788,0.017164076600844663,0.018353957294796903,0.018845493361974757,0.022897284012287855,0.04668119425574938,0.02291673965131243,0.04668081613878409,0.024307310115545988,0.017358636250719428,0.04664636496454477,0.04691057869543632,0.04674760531634092,0.022621011982361477,0.02254953095689416,0.023696037009358406,0.02434632849569122,0.023033568014701206,0.023050136243303616,0.02355383274455865,0.02574227222551902,0.07698978732029597,0.07699038833379745,0.07698653390010197,0.027490126124272745,0.024422722092519205,0.02595481260990103,0.02532242548962434,0.02831447497010231,0.032237232817957796,0.03345093922689557,0.03470500046387315,0.03510428654650847,0.03343868969629208,0.033157835714519024,0.033427354879677296,0.03463616454973817,0.03850464460750421,0.0334448564487199,0.03634727016712228,0.03559266294663151,0.03554389144604405,0.08737080140660207,0.035537903352330126,0.039343674667179585,0.04669804529597362,0.048003752095003925,0.04764257868131002,0.05174428503960371,0.04694988982131084,0.0500957885136207,0.04767552701135477,0.051454479495684304,0.048867368760208287,0.046742767095565796,0.05149536641935507,0.051857056096196175,0.053018645383417606,0.053895676508545876,0.04863945549974839,0.05065613364179929
