Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,44.86554805748825,42.21762232180701,35.51029222624532,36.30501088182845,43.94518413587446,42.25029187016423,37.38742029298296,34.012221426181476,39.63998131828624,32.42074186297211,25.30586890838084,25.26211520242632,25.2745530650775,25.75529165345608,25.296912625463367,25.258801332157486,39.80693372745236,38.288006525039236,33.78185599051812,32.64073418999554,37.282956324710646,40.366018588035935,35.10381529861641,31.961288863884704,39.06638384647456,36.351528448886,22.964838392194082,21.136409261076295,30.47279636670935,34.97200528262737,24.97333982528325,21.13817780762447,35.73922569914048,33.86804591215677,31.98469576980418,28.890294990013274,36.46109801500512,32.846809977407055,32.21035506463907,29.89061271392266,35.97778240640132,5.225077130176383,28.87431025264871,15.5050456031517,33.54346238066799,31.99020610458405,23.82219555012001,15.911515466065664,29.493519869426056,29.59354714917443,27.21263861453264,24.701299320099412,28.73363301320434,30.191155966687276,27.49104261056026,24.92497279143316,29.748276518369853,26.64558058255716,25.566818079256844,12.874481400294373,28.29713524433572,26.25506788365141,27.60307991541586,11.500516102862944
2,44.66294417176939,43.970816212727755,39.67263861598623,38.85760462150224,44.719368211625756,44.49196628620126,40.645471330222485,37.07031552290744,25.27677433628484,40.47869718946206,25.27098907947533,25.3138126064118,42.52150176998763,40.28601202178048,27.094198346826854,25.27269730469514,44.34071905960929,39.31892612861018,36.67698706568899,35.805300538690496,40.1970110698143,42.877780658199356,40.57910244815207,35.625129008897154,38.09204562363282,39.1243792432716,30.515674516286833,21.173720496858483,33.00719891274554,37.67862959358835,35.32613416460001,21.134469568779547,39.59477787030082,36.98687321877095,34.2132877814345,31.744677565023576,39.01526838646941,33.772060510210814,35.023349775242,32.65288350385023,35.973175311782974,18.953797075916864,33.45309054457494,20.875899108113597,32.40728077109415,33.41919624420729,30.294900361388667,29.567263777851224,34.36671737253827,32.431291250454116,30.684612752105906,27.634024222230693,35.761866201759176,31.113950962528893,29.861569247770362,28.87226161022383,31.01756568667452,30.722154282955817,28.250804064814762,24.958395764296643,28.565416306992716,32.69009204279438,28.99298651748862,23.948693671654876
3,45.646310111712744,44.8514228788623,41.85059109834689,40.5909949561078,46.43189824037683,44.1630738586317,43.89456605343259,38.554276256324485,28.1987159104454,25.244455224208988,29.890532941265803,26.204297027872542,25.273404923111105,8.97875101799136,38.862426762963814,25.253404477309374,43.34121233416846,42.33071543112262,38.01962286403415,38.15518593176482,42.70117510169573,41.827322468726216,42.94651706954866,37.38860058712225,44.85998005770949,43.91479737391588,33.38485423091602,21.218063226916634,22.681137949605418,41.84723929510337,37.22381148109771,22.09680216350311,40.082370197556855,36.3721792300805,35.40073309979366,33.23099738265645,37.790882892944666,36.15747623796481,37.57897918764212,34.327546535743984,28.223883336977323,32.350782471411456,34.92059869039171,29.968967450903758,16.030138021541543,21.293546381178135,32.638722157272845,32.320537858487306,35.549521390478326,35.029737660175634,32.79016365238325,30.105280287717264,35.52545979729822,32.992856708106764,31.43047979072631,29.869315266041244,34.31700309446655,29.043967739126128,29.544820118512202,26.17203567103516,26.899326664652104,22.58161458264503,28.17266532848117,26.44188785676435
4,46.23092590952566,46.111913666364615,44.21389606170995,39.89364815230282,47.770033885523816,47.29422450219702,45.77728961980272,39.90117602673379,39.756226134449136,25.289041053423592,36.24541048202523,31.500394660203863,25.27548730051696,25.252661884703812,39.51522773377625,25.280987993539696,44.54673609512818,43.30357365837022,31.081965641251248,39.88490147305497,42.05193065640763,44.5153606190547,40.59307976574137,38.66864074731936,42.781005256660286,42.163042869511095,33.110419066086756,21.87161982358013,38.48908580640767,42.55116980788808,37.96808098921162,28.727849518756116,39.95938915968664,38.608356198985994,36.804359490722575,34.73943898745913,39.5652366288059,37.64579160004866,38.268074076867144,35.53881320535823,32.64721757401843,31.6531421665868,35.10164082988447,28.895811447352713,37.5240409063266,33.749896102047195,33.61086672581276,33.79191584560757,36.689463171358184,33.87304316341951,31.12114553167018,31.373356408486348,36.05652524679464,32.71214264345871,33.08895862350629,31.415775635091773,31.863709013380966,29.27525965782357,29.41027111998351,26.715690126492508,34.754004654102275,34.0669364944245,31.94658099756416,29.05031285348431
5,48.13312497698613,44.65843767504194,43.480794932517945,42.95122024827926,48.348452489194024,45.09343324248326,46.11088827612095,40.9450773486736,44.36702166333123,26.001777612147407,40.2277769691971,37.99665901654425,27.71285590641421,25.201914903583205,40.619342325052116,25.317609606031198,44.60764403961249,41.6532509116428,39.71020763708357,41.306083328402714,42.957517261263064,42.708299669479004,42.134508394606875,38.01574010456236,40.428425444128386,44.616425860386194,39.135729374358554,23.700514453633883,42.43710642280311,21.125705753756776,38.22822138877846,35.4926165730569,41.18754631120137,38.71658889628346,39.09101685899615,36.446836882576434,40.5793822666246,36.55474119588629,37.60334058365081,36.20010210288596,37.76739808935917,34.53143494924758,36.773381768070934,30.688830261591594,37.006169747922605,15.387550211978635,23.052693309273277,34.481542475097164,38.034782743565614,33.977723738718346,34.41637460278354,32.324081534049604,36.9261321357531,34.78951903909391,34.013067899750034,31.59789548399134,30.839237898460514,30.48303593631437,29.206837424603894,29.81045899608155,25.18633805956389,35.49131105446007,29.201119372438267,29.850531501688963
6,47.46121562442077,47.22647539418981,43.61548385289797,44.321000881975074,46.2079545544575,47.040972469264005,43.69716290127493,41.67584488451105,46.59704087919231,28.052054816591554,40.37944968180477,40.24564444476709,42.35517851398976,25.19667121453367,36.43302363914456,25.378676708581935,44.35533759760593,44.1398201996844,40.54943114958612,40.652826394309606,43.70034372734099,40.67637985360103,42.39500902162842,39.569428534742165,45.5534876145414,44.27943346042023,38.416424255582164,26.980171203160822,42.49535590417124,21.13837427021553,39.011932372752575,36.97244985857795,41.00534070385615,39.17599547838852,40.101375137727736,37.40002566023469,40.13774806458816,36.04271271886196,38.19619255236739,37.574275029702285,37.43743445169437,35.1078895723404,37.382241845985,31.403416649340055,39.437310080623995,17.957141605747324,30.316500824550786,37.50166961458036,35.97520010667228,36.112220542430336,33.201519146522834,33.127265188465486,37.708861898483185,35.584890065022634,35.937367650798386,33.67798540794309,35.44265221234887,32.04223479253546,27.776243785817925,30.548531969409634,34.76017006835401,34.92160801842319,28.972062953778444,31.50990782553029
7,44.39710824183456,47.123106879969775,38.35791693439748,45.42111961413033,38.365718684648975,47.06227297565133,45.20610677905844,42.3066711801935,48.29714602264392,27.740372605094013,42.52516623355603,39.186049996288645,42.90641596100202,25.212220816869348,43.80802619200014,25.78052461612566,42.34726229360518,44.50234723475896,40.80531658856824,42.37404749037484,44.76604474147183,43.97987020249162,44.21130041901646,40.25398941928396,44.14551254735837,21.11615980292474,37.57720976804118,33.535615184913176,42.29103919413566,21.135198485118657,42.38787467561264,38.23283705750825,41.04711308761061,38.793511749586784,34.331922455363774,37.333994369563364,41.403790398530354,38.847928501405335,37.577035606329524,38.2618550099314,36.047732246213194,32.61243019141957,38.82863248024315,32.72172364735552,39.984525292489174,32.28284120596129,30.872459215920212,36.94818928547984,38.20830244228737,36.59405503096252,37.38009076528283,31.6958057997273,37.30946324063465,35.98194179910178,36.08593262763752,33.39326868729663,34.478643051475665,31.79937582321381,28.08438803482161,32.6378118531536,35.36831117590113,36.22800120194055,30.0222562310928,28.910046746765076
8,46.31278166063313,46.95654008830214,46.52865635957312,46.02887863757369,48.57381612357924,47.867375532204456,42.252444937015255,42.49178756324264,45.43845230462182,35.158279231659954,40.70427457943177,42.772883175489405,48.1945232243977,26.683645772165864,42.03666088479153,29.002512926256774,43.09784447541427,46.017410678538205,40.879219176116344,43.74211391209851,43.524795612750836,45.80132932777553,44.63182076451122,39.894244457003595,45.25084130075391,21.183429327525957,35.81595750426454,35.4129684043151,45.81216725377505,21.098267473274912,44.187849287851954,38.699243108046346,39.317988435489546,35.60446048573137,35.461297117143154,38.07779817588882,39.424442441337085,37.777838885790345,40.017617113879155,37.86408566677727,34.93922593768976,37.531204512451474,38.70168324436103,33.55833164231263,43.837644744122294,37.18903061862179,31.155128573614068,39.41280963307266,38.224709531403924,38.46421944799558,35.92515417186418,34.81997198875137,36.72080199914672,37.800184871247986,35.19706205566124,33.65526812919857,35.674653931578995,34.02527235396913,31.372031477453962,28.49127854419592,32.28532022228196,38.58387463895241,36.11615903492045,31.519781475751557
9,48.430803105501276,47.62130784874223,45.20629977949404,35.958347338904936,48.24219859483663,45.884362158217044,46.09500069308726,42.588154824055316,49.62623288059018,44.02096913426803,42.833653812229095,42.898923643206246,49.30552357922168,38.319875446060244,43.50278895239247,38.3437940603367,42.8756186565189,45.85193279988035,39.03144529516254,44.120248053170236,44.71183144660881,44.340752169677494,44.42961088864046,41.14435494709645,44.10404775850938,24.51200770733134,36.47756366923497,36.298730948191945,42.59059583098195,24.3955936956613,42.73663229647414,33.69791508440155,42.12260810708481,40.697971355635126,40.016865407552466,39.491747220642466,42.11407624582861,38.99701178998399,40.91133371198563,39.102541059552856,40.70937931378623,35.45263855486951,36.0192100271565,30.764817461417994,38.267400032442865,28.897660294243263,35.01922750516125,36.92218391198285,40.024201709210494,37.33050160990167,35.32667848302367,34.66901215260233,37.51241683541559,36.43994554405776,35.46861300572143,36.2165869150929,37.02260012147174,32.613615330415676,31.99790677576354,30.69254714714954,33.54206261045877,35.61148639071993,32.50654431753306,31.255270703581726
10,49.56455485769385,47.39793842323965,44.35654890700962,46.093816148710594,48.35524434343375,47.87089367558479,44.233483185012155,45.13057593645527,45.71357522637322,45.066819780529045,45.55330593069431,42.22646250765121,49.07303964810212,43.22129832846741,45.571190660581316,40.339211096406835,45.24287413613137,41.515038682484565,40.650558455706665,43.80873263456689,44.93207695653309,44.620402290382735,40.6285517316306,41.65330046640473,46.55455466230836,24.432591773714886,21.03626040152849,35.340992360999344,43.69578452701044,36.88804899747803,21.086563095222022,40.0875523299407,40.91366187373256,39.1250938209188,38.77554573321536,39.87057007814118,41.43161382992019,41.01142440431094,40.61541274804301,38.37478897113638,35.76888180244595,36.76790427652009,39.055469135749554,35.18072064130012,33.26141763073939,38.28024718984184,40.20897146737064,38.823320038301084,38.3095781709355,39.02971596290286,37.45824265579213,34.89000238207169,34.69159158665819,37.46957814768238,33.912172454898474,34.287061707917516,38.805213980061744,31.321489329431397,36.22127843222017,29.820613921353527,29.503709641241056,33.30995720789121,33.639060360200226,28.20841165726109
11,49.59147778316412,47.878467398552765,47.10920530092654,48.16670647084095,46.28478300291647,48.82554452295335,48.26505105338245,46.782663046407855,49.271090497051595,43.95025026232918,46.1201186404946,42.34042521706426,48.19922668915776,45.6791609134903,45.368483280788574,40.526383874608214,46.88691304334524,45.395495354749386,44.607865801095876,45.86211023421271,46.22278775855207,47.189939635286045,47.275058783122354,42.822399502388095,48.35065452060411,32.78030674587673,21.07749111305731,37.68101392018206,41.316283720476314,38.59428329520717,21.123132739745106,41.19247826787089,42.72792026019124,42.75511974307434,41.306061385621256,39.97196541573957,43.0160837137262,40.901383804058895,41.887593427125914,40.823500510180516,43.513921028421244,37.36302055848602,42.59363503660693,32.9998993761517,38.54198724470209,39.46059120540945,30.96559324620559,41.27383599193514,39.935967624821494,39.14894771402891,38.532392651371715,38.0485304625692,38.741230079259594,37.607911344824466,37.45060137171424,36.349408112536025,35.49024355538046,36.239325582812235,38.65896860904446,33.344919922486866,37.848025159871206,37.78472260931004,34.63206553960126,30.479295895174427
