Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,30.328023315036443,29.598720635300953,30.63154537345223,29.838988856966967,30.720422167024967,31.132663349332887,30.2324636199879,24.700405697044403,30.384693384526397,24.65158079682644,24.663474872818142,24.66084970027659,22.514788743896165,24.6017486680787,24.65673003027261,24.655934050281996,28.3010861674296,28.739360767490226,28.354952226853054,27.194253581279792,28.37378006679718,28.838419187818854,28.028072140833824,26.012175492741317,23.858288372119066,20.27318458512004,20.325019230391028,20.3233982956418,22.919222288824553,20.27700189837792,20.26564656739895,20.326942828315637,25.517821174943034,25.158495998156113,24.8475723761843,24.657766437565225,25.449159601198392,25.42224892656415,25.22994465019816,24.71543124468938,25.371730723106083,24.47495546368746,14.800609263836298,14.854204297134046,25.36904348686164,23.894198969376195,16.128248898975404,14.748873809452826,22.470864353261362,22.26194072040008,21.656841063495744,21.181203481345264,22.139766486065174,22.249788913463988,21.650680534782598,21.223401034216014,20.629794664748136,22.32514399460781,19.599837186788132,10.62195829551293,22.28517699193493,21.02383102675662,21.044628619519333,12.490219991624315
2,31.222477528122713,31.393742688047524,31.342129987603588,31.023683132996535,31.866880426292763,31.289480906034147,30.572577079802727,29.517718287878807,24.65669127882739,24.758978691886103,24.6633614503148,24.66398430318472,24.6579339126606,24.660622951699875,24.639728609383567,24.660676942637846,27.5952257921484,29.256003467779976,28.92983426487807,28.03436790506559,29.495998261534996,29.128826488841906,28.798785695979458,28.02483189867777,27.029718636268914,28.77922681452247,20.308866903693826,20.3272487027501,28.888975949846095,27.63677340663089,24.186676286850783,20.32753884444433,25.512716528392023,25.55054134984343,25.195117678755068,25.087018445279067,24.596309259747894,25.477695017946775,25.348218000656146,25.274478372595095,25.45346976344381,25.370463375579224,25.111085799917287,23.645247176554914,14.748207386078969,25.558315713574185,24.711028768821013,14.732061636017868,22.718732421324443,22.608760967892167,22.470828192428428,21.84378658054109,22.898982944222933,22.294282331669105,21.953451460889085,21.839277134441726,21.55944132194441,22.103004642837522,21.330031710824464,19.488448757782262,22.400559406714276,22.152414132020052,21.555132167648765,21.02507968557929
3,32.00194086912091,30.571836758711004,31.436937459294086,31.267758307997642,32.239062099370926,30.99197863420017,30.606184962581818,30.504253352165534,24.630260536262693,23.09451170414035,24.32906042198664,24.66492036517714,23.64715427526819,24.66208664895652,24.571224772889654,24.661899290332844,29.34153386928293,29.43346555795178,28.97806225654118,28.44857740985044,29.5768560500231,29.413234663526875,28.975903192878604,28.48961851870089,20.28018660369401,28.999644202206046,20.060728247535106,20.320393378518094,20.31878424224537,27.959057019281314,28.319680123363327,20.333724161555363,26.09669330471884,26.00223065190383,25.67050700411728,25.33779159622094,26.231265967022225,25.55998610499753,25.94498442841247,25.428833334803148,23.239133304174914,25.91170655007751,18.51227655883433,24.558062621459715,14.715365848479507,25.70153960817129,25.4910458786774,14.819520985862736,23.117811977998944,22.86404366200374,22.046542961561745,21.996980916882887,22.885544672874712,22.915633407517245,22.4992096149309,22.026293968946153,23.038026480240088,22.655470041212073,22.136573883710838,21.2713218954738,21.067384623986474,22.906213658310282,22.471783385663116,22.108457763133945
4,31.923775901210178,31.87538890606395,31.84483648903696,30.60067168609277,31.064416800353445,31.011061319033555,31.453575290700442,30.053748105893018,24.66052635792423,24.64815182176707,29.176073003005623,24.663296327759614,24.365139612760526,24.666904663193705,24.362062576372168,24.61527745351386,29.57986727688022,29.56744645039304,29.313581605959147,28.690221655984214,29.29158684930582,29.198716254614567,29.237317589405553,28.706143363394926,20.283832516441905,20.323557967240742,21.590888675576647,20.331352547451505,28.65238583373406,28.696246392032695,28.724978932820534,20.33749849350608,25.92895866686995,26.107413417397577,25.759798748131725,25.562476997258667,26.155629871115753,25.960722390300432,26.041170348806006,25.668472261006187,25.470291432506055,25.68586110927437,25.799790913909764,25.12418836295726,23.951960584142025,26.048670174572223,7.166584956460725,17.87743814111114,23.00538645348867,22.992901340463515,22.647603907246435,22.04547972149278,23.08990487935382,22.86657828192698,22.61106552479804,22.266883870023566,22.105735562973617,22.897307807525646,22.2352280484433,21.79547442777213,22.821483068599843,22.99872851819744,22.526036191466602,21.942325043562473
5,32.06578816924569,32.02895159482109,31.83636691731644,31.65386232544871,31.775739801416346,30.9164380328471,31.641922966951068,30.683208286930093,24.654535431880944,24.390515971716017,24.497429008475862,24.66406704224013,24.660141625399365,31.075601777440152,25.155945552389337,24.646695200391548,29.74642693113731,29.532923218617256,29.498740392649808,28.978918276901926,29.73091976168502,29.585396023079284,29.148687540974766,28.790742620000163,20.325747099935786,20.308479029650233,26.96539172209822,20.303948280984017,29.13309143714517,20.324980626339684,28.728256638746746,22.37263158414011,26.57841886384404,26.159827392721194,25.933813462557932,25.741685534479874,26.15196526551976,26.422026088810597,25.022846965787718,25.85669044036943,25.86660086058596,26.22678910880694,26.175753558560586,25.530365407124748,23.887091540718345,26.334893885433612,25.810612961433545,24.15687659340965,23.22955526262753,22.15758652381575,22.979711991602695,22.565440028460355,23.100987885527235,23.0809330691219,22.918235154865666,22.526071624456975,23.087189155175988,22.911876517789192,22.43984104374661,22.078304460382043,22.157919760227397,22.430030437724138,22.663524466959945,22.56102802152934
6,31.45748543297573,32.17046405269282,31.885660438816426,31.644826459463445,32.223605212604305,32.19223950041776,31.575975162753277,31.128512633182826,24.66296804117361,24.645507111491515,24.179653977132343,24.664752936855308,31.39533507832843,24.65313573147938,31.086216839676638,24.63440155010012,29.89672529697748,29.70693499173892,29.616205305318744,29.003684854198173,29.27333784297772,29.7567164504337,20.461412424536004,28.981144316731626,20.325122591078912,28.419794999310824,27.820789281623888,20.32240405968322,29.312185808675405,20.34440632536078,28.16207660163846,27.25683731027325,26.31221641407788,26.347934348914382,25.81608459728878,25.822231833587693,26.268689121081376,25.472325463879375,26.247176805550485,25.98659295026634,25.181486902876173,26.1519931888769,25.95442530713657,25.652932733093305,24.277339975225726,20.47733884425394,25.872978417503813,24.436808249883864,23.380780694900974,23.094716877757374,22.458102805622257,22.48461723212397,23.316189616960614,23.172518185901225,23.05169260386099,22.626832493259908,23.330563363783487,22.92521974061059,22.4037138722407,22.105495815002755,19.444315972559593,22.02056107656047,22.711700585765126,22.565818644559016
7,31.381417107483127,32.10138028829607,31.97577479040522,31.810357165557136,32.24767666957304,32.14483662138229,31.981906647178544,31.51753452713571,24.6641819141289,24.660708962579506,24.661314215178034,24.663098155690715,32.08670833578079,24.63992131706416,30.83595097395532,24.64863060473876,29.926888028797837,29.896588861375093,29.64245496833261,29.179193126651032,27.660747181242083,29.70654863102715,29.142989597709203,28.642466255323114,20.32883144233515,29.190508561320254,21.4911174802476,20.377970441078727,28.23584560853169,20.34158388561572,28.471313788015664,27.948704716446983,26.594261168315455,26.378487217958405,25.7645210441536,26.01475607263148,26.278096673702787,26.409531119608335,26.292848747463207,26.034682257659373,26.402806037663968,25.807424588128033,25.25019604062888,25.699980913068853,24.322596548546645,24.906959939189374,26.138790654786657,24.982180440265697,23.165033184100505,23.15493981603582,23.10419552971607,22.6656408043123,23.44836845366275,23.224952562345624,23.00462915487366,22.762393418500526,23.19052767725916,23.23519460561721,22.428828565166782,22.40200489129377,20.32841072514099,23.121999182202156,22.972844032130094,22.746776670869906
8,32.13651486034431,32.19990081400989,32.16189235611591,31.92284033770918,32.40093405720118,29.618630971706665,31.639118373665653,31.520155256857056,24.6641819141289,24.65916024513763,24.66002532554491,24.667538209097234,32.25949661686316,24.66280695802742,31.72766626230437,24.663623611200205,29.97878482550192,29.84455296362688,26.599402223641004,29.243029091475652,29.835955072382774,29.866127720395507,29.551263852811385,29.08720001325481,20.32915512061653,29.32753079370495,5.525981320085008,24.87711634864529,28.8429584573754,20.301560691643314,28.34983188737198,27.77886039740295,26.763696164251456,26.500731242515826,26.104834969137286,25.936267700248035,26.41901139865473,26.295880902687145,26.258390613028297,26.149430423141865,25.98470385808261,23.469412114762136,25.755459175731804,25.903765326543365,22.779348759850524,14.554440274149227,26.350420194728525,25.051515659784982,23.43091037488934,23.479878114171967,23.230258107297704,22.697238431388058,23.390851580240337,23.38697439640083,23.107168151946478,22.78580142009547,23.513124225330916,23.406756597778273,22.585967051155237,22.329793620106326,22.439429799501227,23.35837852762229,21.115393156852654,23.003458817601416
9,30.93663984011729,32.38344289363288,32.16565751910812,32.00266849764359,32.44257884405496,30.984231258538504,32.023849333574354,31.605474716478096,24.6641819141289,24.662639288756676,24.645167485562116,24.69198777644677,30.0199511223701,24.663625734220645,31.735426323153302,24.656583198744812,29.929566418963475,29.916463786902046,28.761152734613663,27.98534249974361,30.06276382826313,29.917081222662716,29.531406537512044,28.53181039680689,20.329156099335357,29.47762240838308,20.251118840338062,27.797354646888646,27.76809148813116,24.893252198374196,29.156582669671035,26.884835543214326,26.552359875283965,26.582546673678852,26.204793513013502,26.004389075188694,26.658376243227654,26.523748886422382,26.58457179408148,26.22728483945799,26.173290952311365,26.215319868789916,26.389055889202766,25.94515718820654,23.147167326217957,23.94647330569502,26.36540108344114,25.30230602379012,23.464940545828114,23.3383352406964,22.966378158258667,22.909213082941296,23.48084410925911,23.43393337943495,23.201651964627064,22.85032911838103,23.617552688585295,23.444032908155705,22.648831302548064,22.081717103984218,22.526915783373592,23.19500980648478,22.794233274257838,23.169957335504492
10,31.46875369695013,32.41733698302509,32.17747351541524,31.866934324883342,32.50854242240271,31.96643217402908,31.891015557220825,30.4371364436163,24.6641819141289,30.36009869441938,24.664336739269018,29.957802729146135,32.43171854384665,24.673805805372808,24.615787762054634,24.65363071113555,29.96326243184132,29.996479043502617,29.631056872693026,29.41003023551542,29.648874660463544,29.900920743941864,29.70662766178154,29.075744795910612,20.329156009927967,20.329112346365434,20.329079988738425,28.535683482298992,27.79689474814867,28.870794310368087,28.781007838168787,28.31860402577264,26.76120191767049,26.553391460607852,26.26055578211997,26.117118501256254,25.969371892299495,26.61095649704666,26.53001639735918,26.241958707741777,24.586173163339115,26.547560588642956,25.70522579737323,26.0762496071453,24.4660702666759,17.439958451113263,26.04544630564675,25.373558447857988,23.522152264072698,23.33134998376619,23.365016922646475,22.840172462429308,23.49236438846582,23.122331266522053,23.348306918692924,22.894681219480443,23.060686875158172,23.532901576628902,22.911451795179072,22.81910632114132,21.776148341808195,21.7093549336805,23.260580506936947,23.02911812507209
11,31.741052676068247,32.52895956483072,32.35796977302719,32.12140565447342,32.570737997706814,32.11439922214908,32.225420578607974,31.81301827713692,24.6641819141289,31.780503654706482,24.673664594700472,30.777061515479826,32.51478727312307,24.653484215290458,24.645175249337782,24.68921833632649,30.09865261303574,30.118923166443338,29.765220091621828,29.45895316782965,29.884121578699563,30.058457553773266,29.811864896713328,29.395295562354296,20.329156009927967,20.328899187957614,20.324849694697587,28.828686311186257,27.209382264364887,29.406243715775744,29.290166835875652,28.656080172205247,26.876056229600476,26.674271293256382,26.292732355288265,26.225974237548417,26.730062843479345,26.68523264193183,26.65864638660838,26.327454984942218,26.31228641363494,25.18558146914802,24.408700255860953,26.234716451707595,23.882588306020654,26.498898221543573,26.064079618441408,25.66857492091256,23.611573534779893,23.616435924839195,23.378399623606708,23.082142040582443,23.550406098255436,23.54867536789156,23.446818431337544,23.056970595030155,22.17372775623223,23.75997137369121,23.18966355582999,22.763686482802175,21.970383730483224,23.279653587745212,23.32661590366412,23.249714724091476
12,32.60965990673892,32.4962197429894,32.3544423742396,32.08497541639311,32.5984860330374,32.19028003410736,32.26918569948831,31.599603393261223,24.6641819141289,31.71535556579381,29.535717600201156,30.678534034045473,32.53406737574514,24.662547087621594,24.659616298380957,26.1519585301164,30.00794625516895,30.09276452955892,29.791731519325776,29.480241548655346,29.89804895938914,30.073634326695288,29.795381374014653,29.389285452110897,20.329156009927967,20.328389166592125,20.32472039536393,28.965071213627382,26.51816135689117,29.6042936835742,28.170197750484803,28.918050187368266,26.842918426480697,26.75808076263104,26.479940004635797,26.193173138789977,26.204684631945895,26.798600941785633,26.700471515473506,26.374174318130702,26.782906928618605,26.334313931532723,26.592971340390577,26.27623723604862,22.63158093252757,26.725350884653277,26.614156820031813,25.76065041303293,23.70116926364327,23.625095223281814,22.999940105601343,23.148855051204816,23.677063157880458,23.601786909172514,23.354805680990125,23.107958825108255,23.263463692302125,23.74097349258497,23.19055823289943,22.840994304212312,22.55992065568537,22.312150060488246,23.341286689184745,23.336819065045987
