Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,0.005884941664688574,0.007968220648097579,0.017167151315221094,0.015380453884617822,0.006434433050675596,0.00780617993336291,0.013651737215351385,0.01997019055005237,0.010664666003558683,0.02395364368003614,0.05431041269322032,0.054584365299989224,0.054507465496742936,0.051572146907068524,0.05436509826795698,0.054612587563740086,0.010285025605189149,0.012319392657697482,0.020795068642932044,0.02338451869469434,0.013698354310438834,0.00968513300831804,0.017655749670599696,0.025297313352180658,0.0113488988034816,0.015410022707569221,0.0710960899787119,0.08774766598261902,0.0986286738246578,0.01800927750188985,0.05641782310134424,0.0877304224220558,0.016366829216091425,0.020286340498312953,0.025195027747596636,0.03596813677238248,0.0150695755347488,0.022802371917593302,0.0245297685240557,0.032030485797552494,0.015914384941833958,0.5623119048591414,0.03608385277673782,0.16778547847365377,0.021046148480255083,0.025175629202669896,0.06440785141295041,0.16011336816679592,0.033535261199833605,0.03314653914708209,0.0435984704929984,0.058211035858892146,0.036634555700032205,0.03095712243369058,0.04222005407015478,0.05673417003567734,0.03256992069926641,0.04665756002066484,0.052750350120417434,0.2271309195028602,0.03872800554123679,0.04874369971848367,0.04170442927561205,0.26605697526117583
2,0.00597787522890875,0.006413532998802713,0.010423187473157368,0.011532704160032442,0.005901515288507123,0.006061666823993387,0.00935872652824339,0.014096144546759068,0.054489206068167505,0.00962731752019304,0.05452673330742329,0.05426271849228175,0.0076273138069963215,0.009928296523310186,0.04420964372955791,0.05452621200575651,0.006180263309343867,0.010907602094673645,0.014937274831825756,0.016255033216518756,0.009846626986610502,0.007268998625010504,0.009468123312656857,0.01657567656903084,0.012490965579868236,0.011190919781787965,0.02982577558203745,0.08737282147841599,0.09692448625738498,0.013189320530939987,0.017322668986404863,0.08776500939683934,0.010563811846550778,0.014213061746218421,0.019531924452163462,0.025906826461226447,0.011314693257427889,0.020494070799366073,0.017768204003876416,0.023314638794305377,0.015919077610694277,0.12153344439465595,0.02145103103158225,0.09062360282552628,0.023972555990005834,0.021357806333853622,0.030612149490669628,0.033342919305815025,0.019165266849597684,0.023944448974373728,0.029244008313498392,0.041534000943936965,0.016354365183314686,0.027845003565453975,0.03216225800798212,0.03603284085014762,0.028142898591439897,0.029172698830108642,0.03870249120906961,0.05663559041037313,0.0373148177491082,0.023213590720018294,0.035623832766604066,0.0635154074935055
3,0.005355941786905238,0.005806389745179183,0.008170548033371652,0.009491339685918037,0.004886258884687894,0.0062850904641245766,0.006479738862039427,0.011936099152781295,0.03895239959950662,0.05469318378805226,0.03204219369063037,0.04898076616959729,0.05451308281210202,0.3556847335363979,0.011656514731393074,0.05463922731573455,0.006894788015408084,0.007745312211675301,0.012643553354741238,0.012406467416458788,0.007422637271256988,0.008183449190655818,0.0072797653524035956,0.013564688679523908,0.005877432734392538,0.006530411717767452,0.02143048034305877,0.08693010404507906,0.0734503347386829,0.00831833922103203,0.013982170724070776,0.07855810723005432,0.009987173137993672,0.015235054789816477,0.017104554904868043,0.02187239562534631,0.01298771117097314,0.015593826290406678,0.013264902225351137,0.019237350255365902,0.03966429153429729,0.024288121171409386,0.01813929771599418,0.03181911705950597,0.157957066205429,0.08616398548549709,0.023403515822213877,0.02430779296245216,0.01672599457042188,0.017774747386611965,0.02298388600929715,0.031257652128765495,0.01683725575590732,0.022447943005951806,0.026839535946720696,0.03212098189507504,0.019284490176609284,0.03536257697383487,0.033364763279785506,0.049215003019522224,0.04519795220873707,0.08449747041756156,0.03911464645236572,0.047654420525710554
4,0.004992460711084983,0.005050335440459513,0.006243178319749104,0.010214945642283453,0.00427515179863244,0.004490574918080717,0.005286974591367049,0.010247716733871917,0.010425634304847218,0.05441438024132121,0.01551092692794471,0.02661476856705032,0.05449918253556732,0.05464248298061289,0.010829199563615019,0.05446199257200125,0.006042052873078578,0.006982666062206693,0.06285219289873614,0.010199081558309423,0.007973626893308843,0.006099401542794684,0.009448341407406868,0.011698683591993306,0.0073594042070985535,0.007871681784273835,0.02211035134052287,0.08062614504368533,0.011930179058873178,0.007627111987563263,0.012765205662012875,0.03663611249780193,0.010123353686005126,0.01184204291270042,0.014503643508866479,0.018366594432275993,0.010624867711378775,0.013146715053188115,0.012293051142848158,0.016745820244427105,0.023345564857791688,0.030823414822218675,0.017765584590313667,0.036649857192422766,0.013330410653273414,0.020570078210687032,0.020901408448065175,0.02052220498706416,0.01469805261461627,0.020276360161095915,0.02788512659835079,0.027022362636065556,0.015832130245787123,0.023176604941126513,0.02218956296645077,0.026881418550965215,0.02553308564190947,0.03438462751687282,0.033870576796082186,0.046168660557869265,0.018314318996878676,0.01984182993316312,0.02532146871360752,0.035316805983159734
5,0.004086654195181708,0.00595317668427643,0.006788276315222779,0.007287305187428756,0.004013166462879352,0.005654439505902116,0.005084917824401206,0.009101916105467161,0.006218199868989669,0.05012887217807288,0.010012357031563956,0.012700852899168565,0.04114914394265591,0.05496062255950793,0.009480850848177836,0.054233345715921956,0.006011502714565957,0.008329005298320234,0.0112065364965042,0.008682724780404917,0.007197546949617323,0.007413267503027596,0.007928543560617233,0.012596723635739156,0.009702068439657631,0.006010447887021986,0.01110917354375498,0.06531422899473416,0.007635342524496232,0.08785704019626693,0.012400511144306663,0.01703825028593439,0.008805940933325443,0.011654922921210223,0.011190457097712265,0.015085296825202642,0.009441345966176592,0.014895130483337779,0.013231043616267521,0.01554386260328161,0.012987493010673716,0.01883154325062962,0.014725292438895648,0.030132687209488404,0.014146417265582023,0.17006932042117126,0.07061214612205056,0.01892326568335852,0.012629661987851806,0.020035567078504873,0.019111659442733988,0.024236636673240344,0.014361773459233977,0.018299145261455315,0.02003172032357201,0.026350574370251154,0.028715676009370125,0.029947006845173024,0.034656793316541784,0.03235499204052306,0.05529601944589361,0.01684265149390632,0.03468756138870246,0.032206445975505975
6,0.004406883604045059,0.0045323841531331325,0.006675836743745559,0.00622285018200441,0.005004544178213122,0.004605982639925097,0.006604864703911968,0.008383430143151679,0.0048203653227104,0.03959378212552623,0.009731893534589297,0.00989225616220249,0.007811173179518387,0.05499334648928551,0.015092573256161633,0.0538524038055614,0.006176172457237534,0.006327599635818644,0.00957514995561858,0.00939714129613474,0.006633727468630226,0.009290470653638135,0.007698007747433616,0.0106268597351719,0.005452960731037773,0.006257642955384734,0.012031132606579597,0.04477544753862464,0.007605489632914259,0.08773001990799448,0.011262082607169585,0.014408106648608662,0.00900466666137199,0.011067930104582176,0.009997412723842207,0.013549420742231333,0.009935718883790575,0.015796712964177964,0.012381676087573155,0.013281009190669293,0.013467805308931545,0.020653405477461036,0.013688787291697297,0.02692889269412676,0.010754842533251305,0.12652424174708088,0.03049254821479198,0.013406659108446824,0.01599728005628831,0.01572514321599659,0.021906804099434535,0.022108412347268083,0.013108812616032632,0.01676200380524328,0.016005732407511422,0.02073640521411448,0.016990258934800113,0.025022179709293803,0.04086534976943696,0.029795658007298702,0.01829010729947416,0.01797091351025919,0.03560290317208128,0.026620573714729638
7,0.006088126371574477,0.004563643680014155,0.012098443783703923,0.0054864692372692805,0.012077841503970349,0.004596672018375304,0.0056326523550233555,0.0078150894237322,0.004017280687383996,0.04102919641167148,0.007722643220231258,0.011132016859576696,0.0072179732384702305,0.05489651263225833,0.006694946894111111,0.05142007855782102,0.007681667622573056,0.006136373017592572,0.009613396228536086,0.00773273225593346,0.005902091267081654,0.006438347872731354,0.006299591339244222,0.009764817789363223,0.006287374160083644,0.0879507618491373,0.013237162212504235,0.02108099628318376,0.007756795280031938,0.08776339642678271,0.007842525805060964,0.01260729314266103,0.008953204362203392,0.011553207042381932,0.019223870108173138,0.013644156686156863,0.008633204756346602,0.011475136214067493,0.013287527104462989,0.012293889752714534,0.01577978150418432,0.02608281544050469,0.011558590129252271,0.02334727390525822,0.010098790007684261,0.024327922391898935,0.02860757205065495,0.01425696092593928,0.012383688074007363,0.014874827021316735,0.013626244317443924,0.026082545595680757,0.013729038487491334,0.015960564690321078,0.015745022598093798,0.02143127665939191,0.01892460432984428,0.025799232771420044,0.03944359219024232,0.023368362499187466,0.017066137583853017,0.015478475155210888,0.031559785715833066,0.035887467597685956
8,0.004930528312298251,0.0045937785766240824,0.004868740622002098,0.005157344879359267,0.003918434185444132,0.004219082660654506,0.007782489609708321,0.007621978652402152,0.005419813395250827,0.017469879782876035,0.009307747687756076,0.0074570004029232435,0.004116600795311249,0.04634496980964154,0.008015629641479201,0.03548843134622809,0.007078016604621603,0.005172736583787376,0.009106053660546887,0.006663687840975982,0.006745004472627389,0.00530080018417186,0.006007256794960121,0.010193947043565691,0.005582321783430943,0.08727778540135021,0.01619224364556388,0.017000901719736287,0.005288009266800735,0.08813421085426106,0.00635044721614495,0.011926926515570146,0.010853761906425953,0.01661113359102658,0.016889127951290987,0.012534953633362293,0.01073591422670037,0.012942585457285136,0.010118703842781778,0.012855775889258673,0.017920983767143045,0.013622547121477951,0.011704931321830873,0.021117275486702648,0.006660530702449873,0.013852940675660046,0.027687538418463324,0.010822829860963503,0.012424716560490406,0.012071298759086703,0.016115340225626714,0.0182257019061184,0.014791797230541406,0.012962048532698245,0.017431642853913045,0.020878551330875152,0.016480996657797533,0.019924724426601627,0.027011508595329935,0.03775227491631352,0.02443077776822399,0.011860862131874731,0.01571444559786336,0.02657150840477723
9,0.003941705563791766,0.004353548097208818,0.005588479090630447,0.015964045531189953,0.004031412226918283,0.005169549747004544,0.005090002185563837,0.00754565355892445,0.0035472330012853936,0.006404167022942664,0.007320624680811444,0.007306819853315403,0.0037041825027029924,0.012161145544817021,0.0068536578682534,0.012313956959749243,0.007239056880075263,0.005267214476742506,0.011252074087698207,0.006388701840582535,0.005944398233243384,0.006171834866861293,0.006161344636419943,0.008859068780972255,0.0063299781633110895,0.05951885733154369,0.015008724198518808,0.015361984816220664,0.007472911638422649,0.060299168447835366,0.007445979673766773,0.020762451580659844,0.007995211507225474,0.009367966029729231,0.010135229841615917,0.01070728867883334,0.008057646334165535,0.011283891088702664,0.00917490802471303,0.011229633363072412,0.009289718003016935,0.019049654313308916,0.015837909727442857,0.030364282158881827,0.012232556131233741,0.03638688860919041,0.01775177532447944,0.01431591118190333,0.010138832190441045,0.013745179082320069,0.017206348160108274,0.01864107105051067,0.013443105426901233,0.015303976027643319,0.016928255207008247,0.01551739724429227,0.014137030160490413,0.02345564310939061,0.025172158459330116,0.029274738495320772,0.021316677253182842,0.016607587027417398,0.02371960886612567,0.027381867743280157
10,0.003564236169993082,0.004417025877853706,0.006151355302790117,0.005075042607051916,0.003987589540373531,0.00417749876149621,0.006229746171521695,0.005664792365802842,0.005271030617858241,0.005679649833215515,0.005511048682636359,0.007852827404358522,0.0037475044995962108,0.006973264319108552,0.0054720583105117414,0.009848866456340708,0.0055768155735339275,0.00844999820600218,0.00982196118717062,0.006594930789346184,0.005781928858661905,0.006030806461759797,0.00935401242891692,0.00835636900069008,0.0048776663807657715,0.06006145341262683,0.0887619887540957,0.017133482638096078,0.006625401203978857,0.014545969024314384,0.08825368774483366,0.010175619062438369,0.009143171109684193,0.011167867640644782,0.011576742389302003,0.010261703629282757,0.008558548764955999,0.009000058282428575,0.009433517364579945,0.012134908787625694,0.016308155391206898,0.015255635770180175,0.011274366137277916,0.017476119986401865,0.023500307205190914,0.012232484308594896,0.009883519254031841,0.011523550590418858,0.012428891334135632,0.011327525409363338,0.013483078919197467,0.01806030473798264,0.01849559054064459,0.013475370530757499,0.020244849070306443,0.019357207829950866,0.011583284250979133,0.027165120538226707,0.015545272198401891,0.032288526528884094,0.033485423027448925,0.021634607159921083,0.020816369040819318,0.0389208566320215
