Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,0.030912410374156114,0.03333787951796645,0.029563989946793615,0.03253343914982027,0.029767701142756908,0.028120472759439227,0.031035412792482283,0.058212710071075306,0.030398051715268812,0.058539830671285216,0.05846074110832101,0.05847854663528518,0.09598966685655588,0.05888022832623747,0.058506524210046235,0.058511586995342244,0.038824138346147515,0.03697996832645773,0.03859085428988074,0.04404199624961515,0.03897321998622692,0.036551340615498,0.040036371962545655,0.0506200405580349,0.06432989968162398,0.09690756585293296,0.09634505263173934,0.09636305929616093,0.0715129859528861,0.09686582080232689,0.09700258996062473,0.0963239458628568,0.05376120927594859,0.055883913510818534,0.05789935228059377,0.05907266502515471,0.05431467732185552,0.05427588322480547,0.055472528770786414,0.058812329601908096,0.054615300652016606,0.06077856743248773,0.18202315064858746,0.1808954235235766,0.054612993465312266,0.06479186723039598,0.1562277350854411,0.18311676838235516,0.07612290856457099,0.07804189747397262,0.08381010450266696,0.08802133130698257,0.0790550505797731,0.07807008656152203,0.08369125295162813,0.08764265609038216,0.09404843215646981,0.07752113565447549,0.1052755116917154,0.2944303273050903,0.07798607962128151,0.09315939331916603,0.08952293874894232,0.23745730349874697
2,0.027665402455216523,0.027159959537997873,0.027277660381709496,0.028308237330332612,0.02570794904553615,0.027688071522936415,0.029963777074481595,0.03374201577365461,0.05850653200336478,0.057821805382026345,0.05846136173991109,0.05845752168364273,0.05849693532040096,0.0584799819380042,0.058619583580860016,0.05848003883843782,0.04217923433939685,0.03488397242492542,0.036185865248356916,0.039974477600642704,0.033910948471010456,0.03542303383346968,0.03675233892995495,0.04011918184273543,0.061287535733206826,0.03680315182272516,0.09652528209344025,0.09632074669497125,0.03645199650732046,0.04192853879672983,0.06262888679189037,0.09631691528873021,0.05418017870235828,0.05351174637360791,0.05569601152923317,0.05638128580891133,0.06329572560736692,0.05405851835081976,0.055088954240264096,0.05522869587846006,0.054159790255323,0.054726603607902685,0.056119934175982315,0.06628694888560016,0.18312759986223726,0.05358435704869484,0.05884807859226597,0.1834542466487742,0.07406889537519465,0.07507505220851887,0.07628641129487847,0.08174549320304647,0.0726896905083125,0.0776924399681106,0.08132477867372181,0.08177256692111208,0.08832705058330013,0.07946151693143669,0.08653648473993879,0.10651237193852926,0.07802202471577666,0.08030253666139726,0.08451328031169703,0.08986672616437168
3,0.025376407030773044,0.02997434433612886,0.02698898980418057,0.02755376889741953,0.024650082769751763,0.03186379246016954,0.029835919681223323,0.029998775901289753,0.058687939041600856,0.07354731539966085,0.06335586954896895,0.058451352007135596,0.06911973773007574,0.058470108791584756,0.0590853435662391,0.05847129907928808,0.034469066788485984,0.03416331174227692,0.03605840849957958,0.03818050207977977,0.033579697454814934,0.03425739705956352,0.035995065919256275,0.03801779383338824,0.09684574030774504,0.03605937589940785,0.09948177517305358,0.09639586626208355,0.09641248209886497,0.0445423236889871,0.0387607108661503,0.09624982849264242,0.050495909322745294,0.050939676073237884,0.05287233107334082,0.05475067228769495,0.04953543100224956,0.05392834200910551,0.05122802374927231,0.054208977102896405,0.08253833501961284,0.051422953575299156,0.18944071154199407,0.05973154797110312,0.18380989124917146,0.05245034537456994,0.053952773812369535,0.18163286512131468,0.07113057516699511,0.07294190455562392,0.07969680085942775,0.08049301021716652,0.07279053468462689,0.07266349569953287,0.07612332555456007,0.08010057487432062,0.07177994900687508,0.07456704604563343,0.07915661803215333,0.08734980305742474,0.09177930728061832,0.0727321783792429,0.07629178997810039,0.07940475100728836
4,0.025650581001704417,0.025691932653623142,0.025806865279598717,0.029708731686449132,0.02816826291876952,0.03069080335363877,0.026976028406559764,0.031593931125168416,0.05847995871332151,0.058563956494250814,0.037884632920345655,0.058462059693662353,0.06093660950264772,0.058436219892031835,0.060585954543108646,0.058785721264378456,0.03358103331591995,0.03363810553865619,0.034634106148234936,0.037172584634514255,0.03532737252608773,0.03502704966493864,0.03497134192105766,0.03713588156155976,0.09679869630517436,0.09635968503958334,0.08346672103812633,0.09627566826366785,0.03733502653205124,0.039241516543965696,0.037090544435162735,0.09620080295241977,0.05218155153845102,0.05035948174475963,0.05236490446229859,0.053433370629053525,0.04986933421188871,0.05128837912630353,0.050685844336199305,0.0528252664205469,0.057710855829523997,0.05259223368540724,0.05200421973110833,0.056162537810433136,0.06709655669021257,0.050590016556224915,0.45377655020146673,0.1278475468590888,0.07169961829798531,0.07215739387465069,0.0746154296292364,0.07996918131307765,0.07112721219633521,0.07303946639912527,0.07507389399134415,0.07799762236160943,0.08664171135851667,0.07283541468035389,0.07854874315827232,0.08231193412925325,0.07346745195261115,0.07188907847465381,0.07602845091674186,0.08320285378443254
5,0.02512025999223191,0.02526054719998939,0.02579580052037272,0.02637705353425061,0.025990571697836487,0.029682689551379086,0.02643873580646165,0.029423409056720456,0.05852035422444894,0.06038280530197332,0.059644127182119894,0.05845684425428395,0.05848307505154315,0.029343436001373995,0.05524588961752238,0.0585742684601334,0.03295565363160688,0.03376394964374458,0.03391931545003097,0.03599334514778953,0.03301673020463289,0.033568959161782534,0.035323492200168324,0.036760009899217565,0.09633672133166483,0.09652190787944201,0.04520429726539007,0.09657884043831404,0.035313189328241484,0.09634582877061189,0.037384850823939726,0.07615258281271062,0.04772888333207893,0.050030033335247,0.05127436212078051,0.05234483524921566,0.04999469780034278,0.048565161335840976,0.05987586936090584,0.05183061972244079,0.05279291731401112,0.049605261897804745,0.04995665669276574,0.053660799416325414,0.06729964689145251,0.048991677630578746,0.05207252098396377,0.06254719154585298,0.07000170560161008,0.07859933400675219,0.0721876704207025,0.07540469387325506,0.07103906248996647,0.07120690295383315,0.07249193850061103,0.07578850890919915,0.07110988267750373,0.07250747773385326,0.07651522970469929,0.07969820971880792,0.08384216810436725,0.07929008503067796,0.07480661605111875,0.07550169687580992
6,0.02690942619687628,0.024896040296690833,0.025665191634351603,0.026387758990551263,0.024710167537266823,0.024837267597370382,0.026579710997501612,0.02797562746965774,0.058464278454198264,0.05858381124154946,0.06227965694811737,0.05845244691292592,0.027169819150247448,0.05853203248364458,0.028076370210914536,0.05865909902591738,0.032420538960691,0.03311980492341876,0.033475515143301264,0.03586780891578276,0.03520928352024179,0.03291549042457465,0.10366644234090953,0.036004470155067976,0.09634364171044736,0.03827718673947429,0.04095468755616585,0.09637213163072231,0.034608972706337615,0.09614062178923442,0.041647730943096754,0.04394850255725759,0.05006647302920688,0.04894536813873986,0.051986094192251996,0.051926841240363654,0.04932699703522518,0.05491104790795543,0.049505342978088354,0.0510564674077759,0.0625551867658966,0.04998768360854138,0.05108868126047097,0.052866785683976215,0.06711958050219467,0.10603830630769784,0.05157034176442453,0.0606249527277119,0.0689953750698797,0.07121877574792906,0.07706945511922192,0.07609293155202272,0.06947371149454784,0.07054383663301825,0.07148019271612588,0.07504834871132784,0.06943711629794659,0.07242328959837195,0.07695174733875623,0.0794710094185651,0.12942008060153348,0.0814380996946087,0.07419414828821629,0.0755064623223639
7,0.02790412476682161,0.02504502098306575,0.02539246226580697,0.025887829663633417,0.024635183807146896,0.025140535021586554,0.025400341754491348,0.02679355367535072,0.058456099603988614,0.05847980659142182,0.05847553922011217,0.05846309300171214,0.025091684404570685,0.05861882428262565,0.029002990698840398,0.05856005209589394,0.03230942863647367,0.032419029372719024,0.033376329399190115,0.0351789545216975,0.043101636944656914,0.03312357488683588,0.03529955400654721,0.03734025045699526,0.09630282721490915,0.035141319729429854,0.08495530661561948,0.09575725139060756,0.040861052910566686,0.09617151863231994,0.03870432683226823,0.04054860147360454,0.047589778789461155,0.048882682937150666,0.05227715469140319,0.05083631718608672,0.04937027231598329,0.04865656057298533,0.0494289661804596,0.05074143549182259,0.04871281279778226,0.0533983093693358,0.058962259435375856,0.052587853356864424,0.06625833140547281,0.0648839317988286,0.050190422048548664,0.056972431165361506,0.07064647878457153,0.07061569284717481,0.07099583165305345,0.07480777192230813,0.06843863856103925,0.07006747533769983,0.07180978621402143,0.07388775815925065,0.07118701189753028,0.07011332215676636,0.07653120482489056,0.07683162068268734,0.10372377856129895,0.070878388358805,0.07212277619877733,0.07393548421790325
8,0.02482684325060248,0.024781718294180227,0.024883442147656584,0.025572142100265878,0.0242259156854536,0.034006507127877096,0.026537137225160243,0.026781797416486244,0.058456099603988614,0.05848941520730163,0.058484205690853185,0.058433091093523695,0.024602188494467447,0.058465899783733996,0.026115880290269487,0.0584596589699415,0.03212847957272208,0.032597983999854085,0.04696122594332658,0.03491925876891226,0.03270250941656761,0.032519515579165444,0.03370826978419397,0.03555698358573271,0.09629930457219844,0.034605287961838,0.5360671572388608,0.05726998843125772,0.036294455423742975,0.09659691841478943,0.04044507741756929,0.04609736813985744,0.04677299248736179,0.04812877334198213,0.050305955870455665,0.05130090217326884,0.04854073058721318,0.04953859908888044,0.04941174791262204,0.05013666992478618,0.05125187558483397,0.09840047949245458,0.0528917186665719,0.051493302645075366,0.08001189162854538,0.1930890296617954,0.04894424181888738,0.05658012051763841,0.06848195728013165,0.0682352803031794,0.07009232285178803,0.07431782991797606,0.06880364803868744,0.06888304202896309,0.07102396621558185,0.07367048075810602,0.06792744391601438,0.06870922104958045,0.07536224070662118,0.07738348296219384,0.08062025977201362,0.06920875634728706,0.09934586727534128,0.0719002074374352
9,0.02872473736569866,0.024262822711525914,0.024848168478023222,0.02534128631415588,0.024105871390246652,0.028452759461164517,0.025325428571099873,0.026531138306856238,0.058456099603988614,0.058466405371824945,0.0585853676628144,0.05826824426206823,0.03207379108779335,0.058460277289769304,0.02605982970655785,0.058506028917650964,0.032301151018588097,0.03231402501250852,0.03692284323819783,0.04054170317269058,0.031836558064846435,0.032344990576222706,0.03376006534095045,0.03775966997408595,0.0962992940951462,0.03398197350738449,0.09716985491418778,0.041106836123558636,0.042741994159141566,0.05722993950188686,0.035508284151350496,0.04740930593405311,0.04802120982364803,0.04769972479066199,0.04974289154375853,0.05082901116966622,0.047286963301262024,0.04803276098619159,0.04768501788586854,0.049647563734176815,0.049977618533936174,0.05090179620225139,0.04878601602946742,0.05124937183406576,0.07617279644657399,0.07280723033192779,0.048895558146157175,0.05516811501504354,0.0682802265785336,0.0692520388153874,0.07214953816747602,0.07264998353511852,0.06815033581343512,0.06853926255623137,0.07027285711667428,0.07318977030008225,0.06724985785206905,0.06850939705510814,0.07469745779301598,0.07947222769930995,0.08248834378027758,0.07064862220255005,0.07410350801614933,0.07067792800882558
10,0.026799745167187958,0.02416857476245291,0.024824756468659278,0.0257582169297396,0.02392087821490122,0.025459128985090597,0.025699017814899323,0.03043033041066249,0.058456099603988614,0.030485262132003033,0.05845504675484538,0.03194369332350742,0.024130603007250638,0.058394368181682074,0.05878031833677155,0.058527263862222914,0.03220384150834233,0.032044154719674284,0.03340224527613201,0.03426406880997596,0.033235135160217893,0.03243871649929402,0.03312574616466559,0.035572726845838426,0.09629929490107333,0.0962997554873278,0.09630130969782626,0.0378362986200384,0.045384671745139445,0.03676421108149184,0.03773985315998256,0.03876713274445618,0.04672442354440168,0.04779803962825099,0.049459700090815364,0.05028009722555275,0.051318587380691255,0.04754323646937924,0.047920046164593284,0.04958681068761101,0.06111217614233637,0.04780191374776713,0.05337255153767461,0.050448434024172754,0.06424708921881621,0.14571881782883433,0.05066459599996884,0.05453085799785662,0.06788363329453762,0.06929204045407092,0.06908527389530686,0.07333608251316334,0.0681235306654081,0.07079822354794044,0.06922187273911425,0.07275653254059211,0.07155731175185143,0.0678006573972065,0.072728912943027,0.07345189920262381,0.09907877266002946,0.10200839744372014,0.0699029114472682,0.07179040273714261
