Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,0.988791368140218,0.9809965733951201,0.8023380895495191,0.8515123834410697,0.9832604801972438,0.9631646450144117,0.9198510833723108,0.7460382867404814,0.9680802532821807,0.7120654821013807,0.2747219834376295,0.2712716431841298,0.27342599726012656,0.2859300381107872,0.270486956644207,0.27308549383431663,0.9672617996695476,0.9326758916402609,0.7042223783184357,0.6822107685076625,0.8749888999867221,0.9346019371474391,0.8905130251440637,0.6551597772842843,0.9694425045869456,0.9489690741692772,0.14678476424046027,0.13998945843121954,0.6678291460885769,0.9233855729183281,0.37163944433483515,0.13791187682295372,0.8224965409940111,0.7271153656232703,0.6364186315183605,0.473016817804044,0.8381021863186134,0.6697177039307194,0.629565202866985,0.4983616189417622,0.8139348186319069,0.02013500526635339,0.5125678185752934,0.04330776665883931,0.729107762540676,0.6322264198614133,0.22354117616283323,0.04395727255827699,0.5024805107846496,0.48236076602701905,0.36357235518147335,0.23992919432642992,0.5932956983966536,0.48234735412642143,0.36178302228474357,0.2550199496603986,0.5944458022804336,0.41893260545312333,0.3139056958875291,0.026533849770603867,0.45885280693424585,0.39442976435141336,0.4009867834784651,0.012456201470938741
2,0.9915833483933215,0.9813714753701319,0.9141914456530399,0.9350697826954047,0.98120247009154,0.9860897277753423,0.9554062084699081,0.8791983875779482,0.27345746447664804,0.9752413267093355,0.26771141188427305,0.274089973109693,0.9840282578975219,0.9601645295014015,0.34413668668418734,0.2739742614086195,0.9759208104181846,0.9573573158282374,0.8202879490665459,0.8233801948131174,0.967944015277391,0.9743370895998676,0.9488644969892492,0.8015273494971306,0.9224714572877463,0.9720966980773067,0.6120937085211923,0.1412208786447898,0.7819616048593541,0.970174423087104,0.9306728382368412,0.13555223728641472,0.9418384430253327,0.8760969324998987,0.7687781113006292,0.6309949136207131,0.9234692886535277,0.8110091656741378,0.7836079571844116,0.6479597291562692,0.7533808690822267,0.19612399926445215,0.815864282152407,0.10848422276176249,0.7578640273520151,0.6868684892489686,0.5941328232649634,0.5683850391142852,0.8442788115174085,0.7046068277823081,0.5375454421910323,0.3693342590791582,0.8281835548925213,0.5272199624397134,0.5214047112223815,0.4493613594370472,0.7109748044406604,0.6416260308272927,0.5387571140427955,0.3295168315632136,0.7040838322478606,0.6937714162446375,0.4818437635395106,0.2230486412833245
3,0.9838405672320776,0.9807373776374554,0.9562168325411834,0.961460133297357,0.9910922752995162,0.9862311787844126,0.9797053522128573,0.9243475640171912,0.3085217729702097,0.2698162129615553,0.47974231580464605,0.33426602735612915,0.2730990963654439,0.04088764465955665,0.9652682209560132,0.27047097963394773,0.9867352719380351,0.9771646225585867,0.8735816480270934,0.8916741358629153,0.9659417600909835,0.9752674031642483,0.9691188573883598,0.8648890921505825,0.9824664233206727,0.9799483687548717,0.6636853781760845,0.14032996642678114,0.26389799213182935,0.9746295594019982,0.960667601894766,0.18267916957741695,0.9578354541791563,0.9100396433447394,0.8628212275908131,0.7359608836269226,0.9313149516492576,0.9034160575791184,0.8664846536028122,0.7396267719101693,0.5685497360102373,0.6911778267994619,0.8647586037751767,0.526292408537716,0.06331040283856341,0.16818710558601002,0.7073485096510171,0.7022786015851401,0.8115239847411381,0.7843352586737002,0.6798284150951437,0.5265185925739799,0.8313095220322854,0.7683255108142797,0.6322250198757356,0.5156953573136878,0.8092657241254999,0.5012152053600127,0.5976846933586475,0.38627641580940847,0.4849191976789669,0.35891815802058985,0.5023977163333024,0.3513131751623928
4,0.9891217656568337,0.9916179063298945,0.9746827564048178,0.955248980145783,0.9935945161685443,0.9926546520528069,0.9866443796623118,0.9447824831526691,0.9524416009639918,0.2719708510114844,0.9465089108613016,0.5841193329774825,0.2721083733621001,0.27078913148328115,0.9671158834479204,0.27039668030801817,0.9844931619150695,0.984275291641331,0.8242157928029342,0.9233402974147505,0.9725855360613859,0.9829934034468061,0.9701171017041582,0.8920958961069122,0.9772817428743604,0.9733313764227391,0.6549315651858433,0.1547184572064687,0.9449361663604345,0.9786839187067317,0.9543137045147315,0.6205624360570025,0.9511206734285099,0.9367625037593313,0.8936027354840442,0.7923601263743626,0.9593048388481159,0.8488040510556215,0.9081900158962911,0.7961564683006968,0.8214956415022195,0.7368296455355421,0.8667752429661078,0.521927510114509,0.9294219256337676,0.7707457740865409,0.7261507869657621,0.7591213925187521,0.9154940417426833,0.8100171795033249,0.71394554437348,0.56731889567045,0.8392245195795844,0.7457276076523401,0.7238242305890169,0.57315296196518,0.693525715532541,0.7082717515599107,0.6236493890797979,0.40331488998600845,0.8012710023677038,0.7412882364019442,0.6649331185982594,0.4583857555517213
5,0.9931243710336828,0.9904982595364059,0.9811817515008494,0.9796966684421345,0.9941836768321209,0.9929925736706164,0.99041312395263,0.9595489374198668,0.9891463657777,0.28965113375092283,0.980909060709187,0.9236217256810765,0.5177550404976181,0.2665788836242241,0.9710629714916487,0.27206974520999405,0.9879130656016156,0.9587476819327141,0.9064183336716186,0.9468048187243822,0.981998138520915,0.9580279828826935,0.9682996764220726,0.8890280756444504,0.9805595134341404,0.9827733604560739,0.9185989485037518,0.2777692952849418,0.9809535802389676,0.1397466609753192,0.9629716265226778,0.8969807626599126,0.9546249285856744,0.9360889777386528,0.9270214867978789,0.8351053669971904,0.9461056690635926,0.8192488345796646,0.8914269512958416,0.8369208339780877,0.8960815843758373,0.804325447801484,0.9270290458430366,0.5987574983617474,0.9404199408786322,0.04125353883758958,0.21017993475977795,0.809910370342417,0.8826780085747593,0.7511253732712441,0.8058314431663106,0.6440720487045738,0.9046476821902044,0.8277019062005474,0.7283278752704149,0.6281109517472238,0.8549369518731825,0.751719232390629,0.612620685855923,0.5225202296407224,0.3840610893863931,0.8339568451490312,0.49065203598591217,0.5471339560831989
6,0.9943302541171505,0.9936371189074791,0.9825289210039423,0.9845254312988013,0.9915051318076963,0.9945062191311353,0.9864799958689354,0.9674980224141617,0.9935643070704355,0.3695845808296667,0.9826830216571745,0.9548492493500338,0.988384618402898,0.2657245111339251,0.8667491649387106,0.2722012919773342,0.9772490164259166,0.9758073738973233,0.9256128049047931,0.9548940762877939,0.9818733314276278,0.9653991846954709,0.9737241097650849,0.9139421108705762,0.9903017042360792,0.9839664824123003,0.8657902390245543,0.544175134970892,0.9720229936638494,0.14050326655270012,0.9808137076138562,0.9396725511532776,0.9667588601107338,0.9399097734071424,0.9360058911887933,0.8716459713025352,0.9624805324828823,0.9431739302683559,0.9271707907739305,0.8823741271056709,0.9563858498860712,0.932617401660241,0.925609069524249,0.6330670440498177,0.9586480087239667,0.052187755687432384,0.6256724666036035,0.8825342689224445,0.8037665754074709,0.8769294752850381,0.7969965875378819,0.6850966806365796,0.9105548355167975,0.8888654671053722,0.8339336293754117,0.6764889375456683,0.7747026575687431,0.755145016818853,0.5979254634594049,0.5301833099019694,0.8428322793729103,0.803555652730001,0.6402158436310784,0.59103944859753
7,0.9944880803601839,0.9938933351560676,0.98485062842264,0.9877646278676268,0.9872889579385481,0.9899806991064349,0.9896974215190819,0.9711080507740698,0.9948325932251083,0.4159327643863848,0.9880010137440737,0.9426005100891065,0.9924343981533231,0.26710734789396534,0.9886179241906468,0.2870177236172156,0.9816205217669532,0.9879524535645684,0.9370603713787964,0.9630717383236121,0.9841057329819898,0.9826429206653526,0.9801241333727287,0.9355050688384668,0.9833469588667684,0.1384575167168869,0.9138647291858198,0.7539526501313655,0.9766911875088958,0.1405231139694614,0.979924821730506,0.9570141869301234,0.9638082604786337,0.9537287280465859,0.9412979415125858,0.8926313508082799,0.9494705468984045,0.9072188034682253,0.9227751474420196,0.8974717464837644,0.9432961293374351,0.792606967815526,0.9276862161991968,0.7016918636333952,0.9323396863714254,0.617831763899864,0.5850410216203688,0.8722018564283305,0.9132901990039315,0.9114334493796723,0.8890821552627477,0.7004459529621886,0.8814036884503239,0.8735264265970618,0.8797505486031231,0.7155257311251272,0.9108312480376325,0.5726000594256851,0.630425970923241,0.6649082387902706,0.8929364399097087,0.8459403757762131,0.7600312923687701,0.569628072459072
8,0.9956222387599328,0.994092086374279,0.9859841073861303,0.9888619638528642,0.9955335055339251,0.9933185287312627,0.9911909443678377,0.9777166964874442,0.9931623564736277,0.7741495385366588,0.9740653065810037,0.9763747333874796,0.9946890541531462,0.2854012191532354,0.9876008277339747,0.38502057491950503,0.9881955604967354,0.9891722073446699,0.9455551385348139,0.9778655336104186,0.9882041040745371,0.9882268134332004,0.9804771228122805,0.9427447808510508,0.9905821583794673,0.14041387151502874,0.8792758379027422,0.807397589107666,0.9879548898115931,0.13419758042332505,0.9812787883214883,0.9618877213096262,0.9398700705714037,0.9323343419804045,0.9334449074985177,0.9147890369798758,0.9601298298722534,0.8327429294203244,0.9537493022621176,0.8883409303890191,0.9567109588496233,0.8723880028605113,0.9217421694739758,0.7177624113323438,0.9770233704001696,0.846365031063554,0.8247554504530973,0.9272880245704757,0.9367708101507817,0.9283261499355567,0.8225955085638305,0.7567405123992645,0.8945424357977919,0.8789568636186295,0.8045228371471594,0.7153238051812609,0.8790856372301001,0.7772578424031297,0.6280798009200191,0.4633172956555758,0.7558433452165844,0.9090959672761771,0.8492492405934485,0.592547139777167
9,0.9963460326926795,0.9937617616343625,0.9885605221812549,0.8966779385809414,0.9957171990744024,0.9943394193676774,0.9895862237373038,0.9720245459357267,0.9968157262346186,0.9876761736563316,0.991628081474505,0.9743540449007982,0.9966434650380415,0.9074149625306838,0.9797752511327059,0.9384812777562236,0.9915084038532389,0.9900052774126543,0.9463915235331268,0.9756947728159898,0.9894100144581036,0.9782682294419849,0.985597811281009,0.9433200867835563,0.9840888464924298,0.15952181758841502,0.8587430235707026,0.8623326841639399,0.9892527576893034,0.30870509931533235,0.9776018222441434,0.7866227420917329,0.9712607069648039,0.9632173394798015,0.9481373647556429,0.9275105936835347,0.9711374063567589,0.8687548980492502,0.9657428667186289,0.9250115111601355,0.9527339022840154,0.8797798972218437,0.8877203813010343,0.6599751751114978,0.9361453209100961,0.45905776940825893,0.7392192954947937,0.8774547075223699,0.9450771728650111,0.8931132791440514,0.8910686275517842,0.8165016522818745,0.9166485428191956,0.8939460878163477,0.7896536064779394,0.8458152722967164,0.9166595469267594,0.8198253932280793,0.8154965811395979,0.5944090449940601,0.8814200924815018,0.819536440697714,0.7064829561527523,0.751795432055666
10,0.9966134426351326,0.9927917637265292,0.9771633281395068,0.9932900000635737,0.9948490929369794,0.994238981264258,0.9881957575122661,0.9831777347219726,0.9905609293691849,0.9890305027889507,0.9930773424897213,0.9727834541517034,0.9964608431551355,0.9770958925928831,0.9921168785359499,0.9694875658690928,0.9874987922357027,0.9776224532669331,0.9388320917780034,0.9869616283839157,0.9904301536105495,0.9850096468443961,0.9471788913171845,0.9542581728503671,0.9921639042383542,0.16578705580758263,0.1331947318296373,0.8050798537502194,0.9878960573503196,0.951599092463926,0.13685393647595803,0.9699124204211164,0.9639493961172364,0.963026576919639,0.935804235392886,0.9342357317508648,0.9744946184398803,0.9627875821745326,0.9363731842248321,0.9406333405441395,0.9304817150444477,0.9531236024126835,0.9490920475044096,0.8317186450620788,0.9650939462051427,0.8735138144032354,0.9366017492701614,0.9263075169932039,0.9267114936271885,0.9265998872750081,0.905628912896341,0.8350708745176724,0.8980242099300256,0.9156086461933399,0.7329331344211919,0.7736736260371312,0.9204364441218146,0.7504493694857818,0.8359736722792585,0.8104554803402007,0.5745340504003139,0.7134605012896956,0.7887123053721035,0.6148802903411061
