Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,0.8529528985990583,0.7848857697500637,0.844456065795996,0.8010273371282244,0.8534629088595577,0.8622678156426673,0.8279946454638069,0.5607114076974065,0.8243457853490058,0.5613403424984553,0.5613237269821983,0.5612498984064457,0.5502639561362287,0.5606988825858216,0.5612706363349901,0.5611777129635366,0.7663625818345178,0.7904448335634098,0.7711153895560717,0.7005024351421998,0.7965213340428564,0.7984820170437515,0.7534419986777054,0.6505581780017081,0.5150186433287072,0.3911565273597411,0.39322559078591607,0.39313898861704066,0.46825170404666977,0.39042047820832276,0.3915919855475829,0.39337597222938453,0.6618884533066411,0.6452707574421837,0.6127544688145533,0.6011373870848873,0.6602035744336887,0.6668856713962495,0.6469683913993706,0.5974554871609279,0.6515852773525362,0.592650660166243,0.2062998745500754,0.2026604078219237,0.6459602689457101,0.5423152651833941,0.23443764005175158,0.21120340716102504,0.5047217069670191,0.4889634880910106,0.4305902839517824,0.3913596342915882,0.5079675911029166,0.49067903098371873,0.42441176008336506,0.38728898735598766,0.43905415993229785,0.4852734665885004,0.2941402604165147,0.09227408071513545,0.4873952573446687,0.4319444436690905,0.37258021455580925,0.11670909392921747
2,0.8430808683872747,0.8684090381746108,0.8672532876652194,0.85080122434139,0.8768457672292169,0.8624775528778521,0.8337044162452866,0.7878226259724159,0.5612050887379294,0.561387343205056,0.5610800941493544,0.5613411569756074,0.5610729149856281,0.5613058644891181,0.5609404039787235,0.5612912955445778,0.7222995492684193,0.8150687164699182,0.8000544731949844,0.7519970591272322,0.8238002529566554,0.8150048608420829,0.7969993613203871,0.757043970365562,0.8007058939376516,0.798293664226965,0.3928390348566724,0.3932617346322786,0.8020777338743058,0.733515283804488,0.5405449991539203,0.3932022790471401,0.6656967551709626,0.6753857980576777,0.6412112674827278,0.6431739952531043,0.6896948607744754,0.6597038274289656,0.670266716948897,0.6434606684881901,0.6565927590032018,0.6619834743849375,0.6343436883120926,0.5236733121803352,0.21176096439902814,0.6620854748979194,0.607908416425121,0.20965962610123223,0.5470883859450565,0.5191011679283828,0.5052662330712293,0.44051428893002315,0.5654878369008424,0.5102107315863985,0.48325679859964726,0.45061923405473553,0.5164252710243387,0.4291343336809701,0.4184533886168485,0.29184635849942675,0.5216429711755889,0.5063290314372736,0.43207747675709296,0.3924076268411883
3,0.8817290219005746,0.8192955760022546,0.8662474496111924,0.8620061092296236,0.8896915080887764,0.8746878677703452,0.8390469209896559,0.8341832040402624,0.561143303822603,0.556039780014354,0.5991455441612954,0.5613386281710359,0.5529624909541923,0.5612969122940398,0.560256653697217,0.5612907161881185,0.8106823384516356,0.8235726930186077,0.7984258844399763,0.777051037545618,0.8226223631756399,0.8207403737372263,0.8095675221774692,0.7833195047404402,0.39360318264827804,0.82217974810087,0.3918107483105067,0.3930307622442147,0.3928534879261574,0.787443580709058,0.7715944494955259,0.39270662310709864,0.7094674530272106,0.7038378122595547,0.6838775593451588,0.6632739541215175,0.7098511844743117,0.6977996253443183,0.6991207034024285,0.6614770594964594,0.6969499271981415,0.6968334424110799,0.5874849340460057,0.5906811693425106,0.20859864842468143,0.6772525719261125,0.6702152828593894,0.20651157427199343,0.5788741498219526,0.5557467375530328,0.48750481325567746,0.4608960099243608,0.5394920547962825,0.5662280172848732,0.524230614492924,0.4772599258662469,0.561145852506654,0.5350761191534967,0.4674949279947557,0.3935493461427641,0.5368059638974755,0.5466328853143926,0.500544901460085,0.4520486102507983
4,0.8754166978628665,0.8776719614383707,0.881134177639026,0.8354580820790763,0.8581024385458674,0.868725597587595,0.8660363367881913,0.802713798879337,0.5613614201831931,0.5611057363958206,0.8531151715593515,0.5612616173358931,0.5600993907463779,0.5599509513253547,0.5586187032075983,0.5611785949161398,0.8230844788157974,0.8277120921799717,0.8196960817595637,0.7918107917886235,0.8207389966388742,0.8050557507049289,0.8150674280419685,0.7947337447383758,0.3934515301938197,0.393297247258118,0.4247428973700012,0.39344042031629023,0.79713593428122,0.8030908190259742,0.8007464674238287,0.39012024736220635,0.7106954489920607,0.7087036948770536,0.688301396846724,0.6730202028791202,0.7239979899653033,0.7017873038700673,0.701013065848194,0.6781373277466258,0.7198308090584309,0.6531160549700555,0.6864489308603675,0.6172426096570655,0.6764555918309307,0.6987004962054048,0.2549708308254684,0.28628642651220865,0.5668826772165739,0.5723391914458429,0.5332748444968752,0.49979152258233617,0.5810952984489846,0.5302411852259968,0.5415842143286512,0.5006325976618641,0.5886836776487921,0.5605505710383653,0.4869975859466096,0.44411845815703516,0.5676737173711847,0.562912271761119,0.5232328816168185,0.4920103986536571
5,0.8849682090116483,0.8795530441140434,0.8810663055244706,0.8741658440698696,0.8778501662397132,0.8691512733728372,0.8698311134222331,0.8306296388567967,0.5612942254355705,0.5596218170949325,0.5603723031784259,0.56121252114069,0.5613100757768335,0.8706176751655635,0.578281517920093,0.5612870704576086,0.8312530603097491,0.8233726750859233,0.8284628796670299,0.8074171935670124,0.8351896280863716,0.8334716562015574,0.8138826985025914,0.7967496739975731,0.39341169283125504,0.3927953565040428,0.6964758677650802,0.3928421668701623,0.8147941139466041,0.3934156474083587,0.8077412694522256,0.45907963788888134,0.7474485620456797,0.7052734884217488,0.7085212607747193,0.6934299274846311,0.7310838405309176,0.7342020055959454,0.6977469691302277,0.6922139179266215,0.7139289670656671,0.7176107973029096,0.7099123397178856,0.6637457173380639,0.6842665200258282,0.7212558558569223,0.6885957135778332,0.5562349492185203,0.6056394264471279,0.5248907951073852,0.5677765983837436,0.527960848252488,0.5835020831683276,0.5767680267723497,0.5587464791178193,0.5243113221554946,0.587946089165371,0.556142377842067,0.5128222673123635,0.4659245519689601,0.5853310363234707,0.5539773176315721,0.5248238928934263,0.5173493976060265
6,0.8927955060443353,0.8852873195639567,0.8786030862553379,0.8740579929022024,0.8910102707221875,0.888556216577312,0.8687571508348517,0.8518647017655475,0.5613698794675235,0.5612017702726529,0.5583487153380027,0.5611898716118563,0.8751793950134746,0.5611566587632331,0.8547134443061402,0.5615517010805527,0.8410425330600311,0.8344222066525142,0.8314417599502116,0.8074185541063713,0.839237415611537,0.8388180711436727,0.6294578575263533,0.8067906793177895,0.39342628122986373,0.7733575147201576,0.738237565003714,0.3924419661291856,0.8186215371934131,0.3943284297375716,0.7977131029125021,0.710002138067278,0.7436643825578372,0.7293558897425672,0.6741087160199902,0.6951978946190084,0.7392667658158337,0.705382824098879,0.7154729914009161,0.7000687352543538,0.7142859106394669,0.7051717778459375,0.6938548723063752,0.6689892750214993,0.7196087068499262,0.6153036859996084,0.7076344201184229,0.5855974022758751,0.6183960942554652,0.5930301305707782,0.5323401439465999,0.5369222217685339,0.6202281184717379,0.5827697482955342,0.5729388453210829,0.5335657038800949,0.6212143266177216,0.564168481288697,0.48804603630098725,0.4688163358627187,0.5580581049918405,0.5198732418349391,0.5326910709701356,0.5086033506551403
7,0.8926085097452324,0.8856624709381395,0.8819079574765215,0.8787137114822188,0.8911441559101955,0.8913028159185679,0.8826913055185767,0.8707476276074978,0.5613869097818862,0.5613137068906721,0.5613274759314865,0.5609785445424613,0.8881829862752998,0.5609728597009044,0.8745814426147588,0.5609123384836323,0.8422302164838132,0.8435233874842685,0.826925249473533,0.8162876854149985,0.8349732379838541,0.8360617582167092,0.794739832438406,0.7839613119958262,0.3934702925403648,0.8110243758322935,0.5035055495801322,0.38995288416772306,0.8293817720249385,0.3943193027034592,0.7987871359900911,0.7623298239130413,0.7486689077759666,0.7176368974763251,0.6917290631838292,0.7117325752787943,0.7477463253302906,0.7290007842094283,0.7261638322727421,0.7084931413354628,0.7350953343074896,0.7197961521118185,0.7014200193120574,0.6814154039864415,0.7183608414003569,0.7036261281573345,0.7049642773297711,0.6233989931973376,0.6173323923432336,0.5937282292350458,0.5742297471774337,0.5367888034707674,0.6246658077473676,0.5796067067082007,0.575616827675305,0.5451963299887527,0.6288945550744788,0.6058131269888737,0.5159587165520894,0.5051596740544958,0.5867754917674238,0.5914611134565317,0.5561813998037956,0.544791006070609
8,0.8965620932171471,0.8870894774032005,0.8857451717684591,0.883586782834007,0.8944948283041568,0.8524917284475039,0.8737305791203677,0.8677298231831726,0.5613869097818862,0.5613498964236786,0.5612603291954231,0.5605901446859656,0.8925501709445712,0.5614590366030473,0.8731437928797648,0.5609878904650514,0.8458532961728263,0.8402349970431406,0.6595734053864691,0.8183567343737613,0.8471160998649072,0.8414071211001404,0.8244513522353847,0.8095665502053935,0.3934847611846522,0.8224881797437984,0.007464244671405621,0.5764115396860784,0.8357504882707052,0.3925837330288153,0.8141506342375169,0.78516493641777,0.7563390229744447,0.7387489380161814,0.7040753073846672,0.6960931219421984,0.7426481545625275,0.7306470328245541,0.7137473522552784,0.7126205639770626,0.7141968454621866,0.6901942612129047,0.7095090592132559,0.6941719853326619,0.7055798888513095,0.5512521962260221,0.7208310997585015,0.6278034747061608,0.6205275318097443,0.6259770125109015,0.5967871005535331,0.5624140167288662,0.6000766746671037,0.610636140783049,0.5838433121748009,0.5532998161634521,0.6309704419889807,0.6071373529855827,0.533395181455179,0.4889314018195419,0.6250989486010773,0.5990816314410582,0.5265204045606015,0.5639077093994287
9,0.8922419692784844,0.8936279816929712,0.8878292894673471,0.8841350428003466,0.896581484816087,0.8603558419397306,0.8856552176438303,0.871302399428593,0.5613869097818862,0.5613317176719815,0.5610665020810147,0.5605913739997576,0.83893592714671,0.5614323909770763,0.8746913710921563,0.5607481985393604,0.8452183559441949,0.8436942253644468,0.7807958355481626,0.7456665297078132,0.8507864672937848,0.8388422305929814,0.8265802627839162,0.7739126008780364,0.39348471677272223,0.8268210134679118,0.3932654205590816,0.7351247515127554,0.8326276137284437,0.5788544602164137,0.8198281411159957,0.7371471615941406,0.7584039249194863,0.7445240625388932,0.7219552701364352,0.7022389090052372,0.7543256906999184,0.7399041824428062,0.7442845940332221,0.7199789355120579,0.7253766598045573,0.7427037950835175,0.7282874632779338,0.6867990145671365,0.7121901144689881,0.7219937360430092,0.720164411776402,0.6473568922176082,0.6080117141777043,0.6110065123749158,0.553643460704046,0.5673523393773434,0.6324542931988801,0.6230449242621708,0.5858640278358133,0.5576071667543608,0.6366908925487165,0.6216993104906897,0.5381410321643967,0.4866722788447548,0.6064043599684824,0.6013927012900298,0.5445114201058524,0.5786860465074526
10,0.895644674032757,0.8944100834238076,0.8860367146194541,0.8750961136876573,0.897449806391139,0.8859626821552135,0.8755433177463496,0.8184411669729695,0.5613869097818862,0.8296372058928827,0.5610701506393941,0.802742270667672,0.8961444462388143,0.5620744272493581,0.5606601326149125,0.5607362018097681,0.8456573328362786,0.848990834100494,0.8340424902549849,0.8251449063230173,0.8452976053540654,0.8364024762531419,0.8297606903650484,0.8051132999213336,0.3934847101309568,0.39348382278434296,0.39353326972479286,0.776112408386005,0.8399386991849594,0.8075742206186577,0.8208317164166242,0.7697167929986991,0.7547891665547403,0.7403937521212253,0.7205869272507424,0.7199407480924793,0.7495657075325953,0.7446012577915608,0.7381648635895841,0.71951292430631,0.7024315821204218,0.7471130520332911,0.7026919189891063,0.7017877086840434,0.7417417170503541,0.6099119516191964,0.7236442089901202,0.6566200659864662,0.6332884736385204,0.6189335524649838,0.6112288469566056,0.5719700543378571,0.6118571527989066,0.5762280443011091,0.6103128529543467,0.5521977165872661,0.5898163949339104,0.6310369492777993,0.5436400496896889,0.5493765905059506,0.6240900622152384,0.6062954371464975,0.5973380935294764,0.5572334091499243
