Epoch,sigma15_k3_actrelu_bs8_fourier_complex,sigma15_k3_actrelu_bs16_fourier_complex,sigma15_k3_actrelu_bs32_fourier_complex,sigma15_k3_actrelu_bs64_fourier_complex,sigma15_k3_actleakyrelu_bs8_fourier_complex,sigma15_k3_actleakyrelu_bs16_fourier_complex,sigma15_k3_actleakyrelu_bs32_fourier_complex,sigma15_k3_actleakyrelu_bs64_fourier_complex,sigma15_k5_actrelu_bs8_fourier_complex,sigma15_k5_actrelu_bs16_fourier_complex,sigma15_k5_actrelu_bs32_fourier_complex,sigma15_k5_actrelu_bs64_fourier_complex,sigma15_k5_actleakyrelu_bs8_fourier_complex,sigma15_k5_actleakyrelu_bs16_fourier_complex,sigma15_k5_actleakyrelu_bs32_fourier_complex,sigma15_k5_actleakyrelu_bs64_fourier_complex,sigma25_k3_actrelu_bs8_fourier_complex,sigma25_k3_actrelu_bs16_fourier_complex,sigma25_k3_actrelu_bs32_fourier_complex,sigma25_k3_actrelu_bs64_fourier_complex,sigma25_k3_actleakyrelu_bs8_fourier_complex,sigma25_k3_actleakyrelu_bs16_fourier_complex,sigma25_k3_actleakyrelu_bs32_fourier_complex,sigma25_k3_actleakyrelu_bs64_fourier_complex,sigma25_k5_actrelu_bs8_fourier_complex,sigma25_k5_actrelu_bs16_fourier_complex,sigma25_k5_actrelu_bs32_fourier_complex,sigma25_k5_actrelu_bs64_fourier_complex,sigma25_k5_actleakyrelu_bs8_fourier_complex,sigma25_k5_actleakyrelu_bs16_fourier_complex,sigma25_k5_actleakyrelu_bs32_fourier_complex,sigma25_k5_actleakyrelu_bs64_fourier_complex,sigma50_k3_actrelu_bs8_fourier_complex,sigma50_k3_actrelu_bs16_fourier_complex,sigma50_k3_actrelu_bs32_fourier_complex,sigma50_k3_actrelu_bs64_fourier_complex,sigma50_k3_actleakyrelu_bs8_fourier_complex,sigma50_k3_actleakyrelu_bs16_fourier_complex,sigma50_k3_actleakyrelu_bs32_fourier_complex,sigma50_k3_actleakyrelu_bs64_fourier_complex,sigma50_k5_actrelu_bs8_fourier_complex,sigma50_k5_actrelu_bs16_fourier_complex,sigma50_k5_actrelu_bs32_fourier_complex,sigma50_k5_actrelu_bs64_fourier_complex,sigma50_k5_actleakyrelu_bs8_fourier_complex,sigma50_k5_actleakyrelu_bs16_fourier_complex,sigma50_k5_actleakyrelu_bs32_fourier_complex,sigma50_k5_actleakyrelu_bs64_fourier_complex,sigma100_k3_actrelu_bs8_fourier_complex,sigma100_k3_actrelu_bs16_fourier_complex,sigma100_k3_actrelu_bs32_fourier_complex,sigma100_k3_actrelu_bs64_fourier_complex,sigma100_k3_actleakyrelu_bs8_fourier_complex,sigma100_k3_actleakyrelu_bs16_fourier_complex,sigma100_k3_actleakyrelu_bs32_fourier_complex,sigma100_k3_actleakyrelu_bs64_fourier_complex,sigma100_k5_actrelu_bs8_fourier_complex,sigma100_k5_actrelu_bs16_fourier_complex,sigma100_k5_actrelu_bs32_fourier_complex,sigma100_k5_actrelu_bs64_fourier_complex,sigma100_k5_actleakyrelu_bs8_fourier_complex,sigma100_k5_actleakyrelu_bs16_fourier_complex,sigma100_k5_actleakyrelu_bs32_fourier_complex,sigma100_k5_actleakyrelu_bs64_fourier_complex
1,0.0007302651984328231,0.0013930385769565816,0.0034626372347050694,0.0037075271318835756,0.0006841132261679572,0.0012240895324653752,0.002706603706722838,0.00508185716540511,0.0030416287154061013,0.004029545474554949,0.0054521804918136576,0.008697013251960685,0.0038935942695265385,0.0044706797087594044,0.0054587234360101025,0.009513340484401887,0.0013293731895775171,0.0020773151971158694,0.0032089782967226377,0.005481662652953366,0.000981234771395108,0.0020241822968201607,0.002905789776780499,0.005168513858815961,0.0028066931369608206,0.004709983357693711,0.010594066700420866,0.014971457634918132,0.006960424929614858,0.005959145900301922,0.010821911788415812,0.013554082673728762,0.0019551582376454825,0.0031373204677015098,0.00583328937214512,0.008861306217262771,0.001306908313641,0.0025141397028551195,0.0034318062137558697,0.005112134494450388,0.01004935996369079,0.028078125928706527,0.01576178063191381,0.042078919477056505,0.009121433913464903,0.018821559027074962,0.029562282367882813,0.0410130022751603,0.004323470460782433,0.00731251264650516,0.009378012491706342,0.015317710798780495,0.003186253693505224,0.004486220766003194,0.007614414506784144,0.010925312038853913,0.01957726724945612,0.03935442640177799,0.07235172217646937,0.14038551200310984,0.026599594207603453,0.046005920335614514,0.014802750019328808,0.15145122901124147
2,5.826559218253596e-05,0.00011970489465000714,0.0004830136596720691,0.0005925787693591538,6.143949446499272e-05,9.613160418428964e-05,0.0003814162119666453,0.0008681737363167033,0.000529716689360406,0.0004948122288429601,0.003482359469305279,0.00345045265125398,0.0015313188759893757,0.0011251221518000377,0.003284897135723549,0.0034874084107902143,0.0001235979256077623,0.0003753948774480411,0.00040613131519665925,0.0008472805780205709,0.00011339817179590574,0.00014386806480228516,0.0002940391966705593,0.0007429906604081781,0.0003037908768432322,0.0006234601535233098,0.0029306728741795808,0.009611346640749209,0.000312867382456116,0.0007674173457320842,0.001739633768861789,0.009532599424971129,0.00022552834577101405,0.0003442451808597706,0.0006783280569558444,0.0017723749763568612,0.00021149472159184902,0.0004174745273893709,0.0005060129879165292,0.0008172405779706917,0.0003921923986563275,0.0018516937771339175,0.0022823085892014205,0.028157461195980286,0.0004631911404775076,0.0011820915107952584,0.003656265522765728,0.014762887543539948,0.000523078049128496,0.0008741771212912859,0.001377109585944401,0.002447403031134913,0.000454907213584862,0.0007105879941090244,0.001308083336233319,0.0019120256887373529,0.000760480700439863,0.0034229814435118334,0.002338325003462042,0.018029436784152367,0.0010334348097976054,0.0017658731484045023,0.002025943842110692,0.03150676134556754
3,4.530792100024099e-05,5.7963729109917895e-05,0.00018037112806893282,0.00037398075113543287,4.403404031861341e-05,6.837116786838838e-05,0.00011486088309294558,0.0006250689583436693,0.0033012236138197618,0.003046018953009015,0.002832138077303795,0.0032704801719163116,0.001478046402567599,0.00040376803617454734,0.0013158356691090928,0.0034771767753032754,8.831483399561571e-05,0.00012817051335310434,0.0002707403940287655,0.0004085007116264566,8.143954042182348e-05,0.00010749911688043322,0.00015777154856469176,0.0004135677005269736,0.000104149134179836,0.0002642346644811315,0.0008468679208899222,0.009538750757291839,0.00887096739229071,0.00036620204857079397,0.0009577966756210547,0.009038760406729667,0.00013905898784087993,0.0002094887407472593,0.00036077954475096063,0.0011320774666721753,0.00014521064447959925,0.00024092761947403649,0.0003047871353586589,0.000541589593162079,0.025794087796655315,0.0008421047674271776,0.0015217210871308802,0.004933188007090389,0.00037461906453847686,0.018698158554375514,0.001921675795085719,0.002252554913649141,0.00032700120542596833,0.0004681483680342093,0.0007590820715445283,0.0014465015505519302,0.0003128213827243397,0.00043222626430178366,0.0007343374800709637,0.001135266885950244,0.00047981151990127835,0.0021580842262894314,0.0012739079721898665,0.004031871344699566,0.0006224331316460473,0.0008463861875364402,0.0013248393624419792,0.003623872648447344
4,3.836865120211867e-05,4.8931843958934235e-05,0.00012177950705322542,0.00029272907465668533,3.55866702094096e-05,5.407894955794851e-05,8.521007825563279e-05,0.0004260860415655119,0.0009314298008806561,0.0034589341260068576,0.0007585579575304711,0.0018822838142815402,0.0034642526449463447,0.005389376954501814,0.0005312954895971551,0.0034680427486466162,7.044901881738026e-05,8.741293277125806e-05,0.00022381089032779387,0.0002331604263965337,6.68450935186836e-05,8.930406488375895e-05,0.0001325430463175191,0.0002802712376943595,7.097375952575586e-05,0.00011569328783785211,0.0005456586727112027,0.009063417413990148,0.0013367867667260665,0.0002359447811948838,0.0006356237629449935,0.0050154826748625035,0.00011577219800063474,0.00015676223551440118,0.0002774413741784186,0.0007386842776009979,0.00012101281938999468,0.00017596275318041907,0.00021785090682363204,0.00040738897766473135,0.001177416179376839,0.0004703309677101384,0.0010393751831927953,0.001800803264918093,0.00031733691590701753,0.0013639519467640393,0.0012147298242852777,0.0012770717985585184,0.00025477911812753164,0.00034519540316668094,0.0005216939439672735,0.0009917809805469078,0.00033035373188926406,0.00034244482344052363,0.000488590430343797,0.0007945228804166971,0.0003684874970497131,0.0009155374638599766,0.0009396664956231273,0.0028228041587341855,0.0004474763401942774,0.0006529223419256177,0.0009735924197130359,0.0022756129807899174
5,2.7646969836183777e-05,4.2902446667315375e-05,8.489821911962507e-05,0.0002132901865470603,3.0536935968467065e-05,4.7055616119264944e-05,7.388327793619713e-05,0.00033203909567161116,0.0002716566680259274,0.0033947876769024705,0.00048618822931792747,0.0005476376582869556,0.0029273296637826393,0.0035737921058141765,0.00039343932620799913,0.0034509060449147626,5.956797398751227e-05,7.216593800435699e-05,0.00018296428927204767,0.00017830521623842622,5.705496349174846e-05,8.931312607590238e-05,0.00011632130507456367,0.0002470037940309258,0.0003043198045142115,8.366056082655552e-05,0.000674097791488748,0.006714610783707591,0.00016344646567861137,0.0061586418536117675,0.0004231468302346025,0.0014239529539270335,9.981907181221816e-05,0.00013675184992746048,0.0002240897331500324,0.00037522669958323703,0.00010430377351174174,0.00014526691633053807,0.0001718203627717402,0.00032480933495845866,0.0004896663454272635,0.00029573304393824525,0.0011202801790422023,0.001015923495649995,0.00016732226744286703,0.027103567583199276,0.0008248987907601117,0.0008240840561393722,0.0002592943645247055,0.00028170231602174376,0.0003924113233873171,0.0007525451438772534,0.0002822168012933488,0.0002865036467319023,0.00038587727815761876,0.0006072077529785219,0.00030861159447915945,0.0006323585702158806,0.0007653865267914159,0.0020157993349492254,0.0007717673139011274,0.0007761854034160017,0.0012577113167157475,0.0016651340755657177
6,2.3701858508392085e-05,3.7465726574010654e-05,7.860151112507635e-05,0.00013139374407986526,2.7260714277224244e-05,4.122147408537752e-05,6.442896887871138e-05,0.00028706084724297907,6.754151660537444e-05,0.0020864120663990405,0.00042708286593044965,0.0003321751651648937,0.0004358644464811272,0.0035944407425911235,0.00044799167258518434,0.0034209324107204206,5.293183200592183e-05,6.41167958791391e-05,0.00018242361934132182,0.0001520559131830991,5.0802123216301304e-05,6.344476315367574e-05,0.00010531261466270219,0.00021384829756356682,0.0001343695772205101,7.184012039374677e-05,0.000408949159536498,0.0038983504663207638,0.00011239663760601966,0.009640121679491112,0.000279807295415386,0.0009938648220473687,8.93521138590339e-05,0.00011973164001072327,0.00019772149102915246,0.00029013235198996443,9.358873026626635e-05,0.0001281470095265863,0.00014904483490211156,0.00026537794007315063,0.00031471495680315196,0.00027434055114232463,0.0006242470220090422,0.000742866570218026,0.00013517426858439293,0.036404530694516976,0.000506306954232955,0.0005095500992182457,0.00020556576662817045,0.0002499443918826463,0.00031935510308706477,0.0005894998450901368,0.00020850169691295585,0.00024347092541425553,0.00032040611834992743,0.0004994024174949339,0.0002654528983405896,0.0005321810084659382,0.0006588195653027619,0.0013191152147691587,0.00041781957619876415,0.00040721133701477485,0.0007039656054587057,0.0013453439575972137
7,2.216926723085216e-05,3.4534773921323123e-05,6.304016260039125e-05,8.357191174256323e-05,2.4750022382657216e-05,3.6426974928932926e-05,5.836056956993265e-05,0.0002439568185641903,3.4725601278174376e-05,0.0018237991011182835,0.00030387689702505874,0.0003347637948310188,0.0001519569464313141,0.003615060019815096,0.0003930123862458581,0.0033208763763188055,4.645519255490145e-05,0.0003397790626740999,0.00013293247598515005,0.00014036721301242472,4.6474694647398565e-05,5.896828080556715e-05,9.595936141671864e-05,0.00018139935757551315,4.852192395427798e-05,0.002414054540880395,0.00024389020957945226,0.0018167307760232866,6.571922128001833e-05,0.009642030360488952,0.0001865674743050332,0.0007528401627460152,8.185194221570985e-05,0.00011108802234620382,0.00017513029429685402,0.0002453035330521499,8.471795949047983e-05,0.00011098159079051429,0.0001314134232918367,0.00022454102054778115,0.0001738733066691357,0.0003441474411462946,0.0002854971115184028,0.0006349106300859689,0.0001088105156403511,0.005330207317780098,0.0005135264781805274,0.0004094117931385677,0.00025307670099634813,0.00023090129087716178,0.00028167773782106497,0.0004923389834352996,0.00019271661587474143,0.0002110372854368593,0.0002818162549320094,0.00042336019577310233,0.0002398848455920517,0.0004549832700043378,0.0005868233723533502,0.0010634331772247543,0.0003192922949272901,0.0005503395058432862,0.0005411079369308149,0.0010976941188373395
8,2.043746126660633e-05,3.116503560466318e-05,5.544005531436284e-05,6.634487183860142e-05,2.3205690027564756e-05,3.283937165809418e-05,5.319245471822507e-05,0.00020054944380984609,2.8495586891874913e-05,0.0014452719536459846,0.00025872991915745313,0.00023945418576853562,5.292766397654644e-05,0.003418696669435132,0.00018178805083297634,0.0026399504711309366,4.2150056010814606e-05,0.00011034845379505025,0.00015458122181905367,0.00011415202603548005,4.2655887995982475e-05,5.393457222504371e-05,8.698337824714158e-05,0.00015561741363953344,4.1366038761630424e-05,0.009582184975492746,0.00019606956928653935,0.0015371445860639585,4.985315541523933e-05,0.009634401610986965,0.0001214125586285711,0.0005945983899998205,7.682341005977389e-05,0.00010309099937120786,0.00016459974727668078,0.0002140059114931341,7.988141070459645e-05,9.981128358493029e-05,0.00012025745631243677,0.00019998080336050924,0.00022625581327131712,0.0002010814406306036,0.00023033360804079867,0.00048546985900017956,0.00010435540718983,0.000559177459463913,0.0003861265272349212,0.0003530975054808781,0.00017972773342151522,0.00021623646468532637,0.00025879001610582827,0.00041772896606088225,0.00017847360310037765,0.00019680256774943432,0.0002618357849400606,0.000374555249816613,0.00021352278593182825,0.00041372949948704466,0.0005126184996290466,0.0008844157382011859,0.00027294469714455173,0.000325904066454403,0.0005203369418182295,0.0009778058723968208
9,1.9244298096812196e-05,2.9454629670509614e-05,5.679754305665529e-05,7.168047025276172e-05,2.1846566445492668e-05,2.919725445428789e-05,5.0078068017764554e-05,0.00012621987700900782,2.4938174758066776e-05,0.00021651170430967193,0.00016863515457178673,0.00021067784974769695,2.9149469099864864e-05,0.0011373034636165504,0.0001563774839092703,0.0010718180520276988,3.8501548960991285e-05,4.6923486324993275e-05,0.00010766185706547074,9.265839593471677e-05,3.983062779264084e-05,4.904207006687718e-05,8.220090795425925e-05,0.00016290579283371364,3.770115143821918e-05,0.008332004087647352,0.0001358454012721331,0.000991686251488241,4.265894249246905e-05,0.007062782263980196,0.00010204453016527777,0.0005925546327996211,7.322610932686702e-05,9.85638199592458e-05,0.00014903251176473536,0.00019724913799656853,7.530595503577786e-05,9.10614809821048e-05,0.00011670745086451629,0.00017486728572307515,0.00018388624544125504,0.00012695493928298636,0.00020358472352765503,0.00039996397390495986,0.00012160260168662112,0.00038687594299018904,0.0004031802588963443,0.0003254408144872214,0.00018723928752831953,0.00020355218412015846,0.00024107208270802562,0.00035609397313219324,0.00017103855703528602,0.00018594483258150513,0.00024070157778804973,0.0003380353951453699,0.00020038290459724561,0.0003574424547498394,0.000500285917915061,0.0008188120897573219,0.0002487761611177428,0.00022209470779907395,0.00048448985856778187,0.0008401482734384377
10,1.8217955489451908e-05,2.7565034544629118e-05,4.993575506280953e-05,6.472463390952242e-05,2.0513506028758584e-05,2.745493555371012e-05,4.382596817953554e-05,9.608984322794505e-05,2.0986315691926375e-05,8.869834448666269e-05,0.00013569018635429693,0.0001978846066324411,2.555874215786369e-05,0.0002685578855011521,0.00012208318339752854,0.0005086707537681031,3.560699747940126e-05,4.254762346639113e-05,0.00010559846422759833,8.377170364729497e-05,3.7476293211971506e-05,4.691214438613812e-05,7.68302184743465e-05,0.00014189045193338122,3.4238487384652805e-05,0.005383413607531645,0.011592947175632612,0.000718699991025392,3.435315712968821e-05,0.001725657965264074,0.006799576386031763,0.0004610326018043103,6.936768064831518e-05,9.2336217819535e-05,0.00013952090385778567,0.00016912550824206085,7.19456286564705e-05,8.45918408592309e-05,0.00010700833980135668,0.00015651867528757618,0.0001346558853413578,0.00010442102406217121,0.00018852812419610737,0.00044316082494333386,8.105837181732267e-05,0.0006903742903261228,0.0002447818568277819,0.00032871594338762386,0.00016213014570626522,0.0001916562042652711,0.00022908413009292363,0.0003427074297183003,0.0001641215861908969,0.0001751431627826407,0.0002278101308194837,0.00030917576993456507,0.0001875519102725232,0.00033374571018641053,0.0004629855503114427,0.0007031216243842608,0.0003421995088278094,0.000642463491701148,0.00044990145086295743,0.0007733998492079791
