Epoch,sigma15_k3_actrelu_bs8_image,sigma15_k3_actrelu_bs16_image,sigma15_k3_actrelu_bs32_image,sigma15_k3_actrelu_bs64_image,sigma15_k3_actleakyrelu_bs8_image,sigma15_k3_actleakyrelu_bs16_image,sigma15_k3_actleakyrelu_bs32_image,sigma15_k3_actleakyrelu_bs64_image,sigma15_k5_actrelu_bs8_image,sigma15_k5_actrelu_bs16_image,sigma15_k5_actrelu_bs32_image,sigma15_k5_actrelu_bs64_image,sigma15_k5_actleakyrelu_bs8_image,sigma15_k5_actleakyrelu_bs16_image,sigma15_k5_actleakyrelu_bs32_image,sigma15_k5_actleakyrelu_bs64_image,sigma25_k3_actrelu_bs8_image,sigma25_k3_actrelu_bs16_image,sigma25_k3_actrelu_bs32_image,sigma25_k3_actrelu_bs64_image,sigma25_k3_actleakyrelu_bs8_image,sigma25_k3_actleakyrelu_bs16_image,sigma25_k3_actleakyrelu_bs32_image,sigma25_k3_actleakyrelu_bs64_image,sigma25_k5_actrelu_bs8_image,sigma25_k5_actrelu_bs16_image,sigma25_k5_actrelu_bs32_image,sigma25_k5_actrelu_bs64_image,sigma25_k5_actleakyrelu_bs8_image,sigma25_k5_actleakyrelu_bs16_image,sigma25_k5_actleakyrelu_bs32_image,sigma25_k5_actleakyrelu_bs64_image,sigma50_k3_actrelu_bs8_image,sigma50_k3_actrelu_bs16_image,sigma50_k3_actrelu_bs32_image,sigma50_k3_actrelu_bs64_image,sigma50_k3_actleakyrelu_bs8_image,sigma50_k3_actleakyrelu_bs16_image,sigma50_k3_actleakyrelu_bs32_image,sigma50_k3_actleakyrelu_bs64_image,sigma50_k5_actrelu_bs8_image,sigma50_k5_actrelu_bs16_image,sigma50_k5_actrelu_bs32_image,sigma50_k5_actrelu_bs64_image,sigma50_k5_actleakyrelu_bs8_image,sigma50_k5_actleakyrelu_bs16_image,sigma50_k5_actleakyrelu_bs32_image,sigma50_k5_actleakyrelu_bs64_image,sigma100_k3_actrelu_bs8_image,sigma100_k3_actrelu_bs16_image,sigma100_k3_actrelu_bs32_image,sigma100_k3_actrelu_bs64_image,sigma100_k3_actleakyrelu_bs8_image,sigma100_k3_actleakyrelu_bs16_image,sigma100_k3_actleakyrelu_bs32_image,sigma100_k3_actleakyrelu_bs64_image,sigma100_k5_actrelu_bs8_image,sigma100_k5_actrelu_bs16_image,sigma100_k5_actrelu_bs32_image,sigma100_k5_actrelu_bs64_image,sigma100_k5_actleakyrelu_bs8_image,sigma100_k5_actleakyrelu_bs16_image,sigma100_k5_actleakyrelu_bs32_image,sigma100_k5_actleakyrelu_bs64_image
1,0.0017309645867297514,0.0023830828397298914,0.003556411724076583,0.003486912888972858,0.002093112898669926,0.0022082061262096568,0.0036385368899817566,0.006552889968606815,0.0035423050866850124,0.006843242698795885,0.006587642246153002,0.012177635335238345,0.004612622397942796,0.006189413792491377,0.006967582583221241,0.014797996418592311,0.0030826107484201266,0.0030430709353782,0.0045324704576218825,0.009100981104183035,0.0029125383514234113,0.003175885649615297,0.005410044908984587,0.008176975145088092,0.011110172803240366,0.01058087952483698,0.013560899761528591,0.025422788567989324,0.010349614367583507,0.01169220188965264,0.013214197953866415,0.017262093141322852,0.0056523765486798695,0.006648312818158161,0.010333480049603484,0.010202285110839267,0.00461294687135824,0.005354926468226096,0.006479398585191061,0.009289789360493829,0.013290976264068803,0.026292340018031348,0.040583063185733945,0.05148580053181791,0.014022653153220668,0.03697691463118311,0.040497714055896694,0.046221794004538165,0.008590290530802437,0.010504577144013757,0.01320026546081908,0.01881753457293137,0.008596385761830519,0.01001843769629512,0.01191977647061353,0.01668477226257213,0.026754282866081426,0.04154900585978704,0.12024272111040628,0.1545289989690579,0.033722559411868275,0.0467006509228799,0.09311880571397012,0.15254957023174015
2,0.000993138275126913,0.0010535705858678108,0.001113433864698004,0.001212773260206392,0.0009841828915561409,0.0010072836902614987,0.0011553750466815988,0.002343024844790239,0.0027965452353594087,0.003500592269382411,0.0034618807093017914,0.003463664086910882,0.004346369165397306,0.0035383963884116983,0.0034656252602546186,0.0034742062113280246,0.0018257123388332908,0.0018156270891939148,0.0019344524248730188,0.00263827544606907,0.001801845002544066,0.001800478957494919,0.0019183547116714108,0.0023995110682855864,0.0022275228058911195,0.006628377329327477,0.009615120106140402,0.009633360134057738,0.0021912150063305292,0.008274693273131892,0.00866240236313958,0.00962519935512943,0.0036843078932848085,0.0037951372158449947,0.0041121286258972555,0.0042660273634712795,0.0035866084540482532,0.0037023610436585316,0.003713824878335555,0.004161712842117717,0.003838079152286744,0.0042743984535661035,0.012446971317412637,0.021720218929735507,0.017076457516751707,0.004190138158809763,0.00871447487317248,0.03843667497163388,0.006437959146798654,0.006799031054229008,0.007130969860776332,0.007856073166100095,0.006421221834814673,0.006707286615331507,0.00711411058112738,0.008064081342149507,0.00698060532634712,0.006942533568595609,0.009968007437477064,0.050776909976567496,0.006925503551725784,0.0074415744213339845,0.00836215101631905,0.017752383144071966
3,0.0009896188322900351,0.00097887905084342,0.0010112555737668573,0.001034807142180701,0.0009227427233670254,0.0009682179038460971,0.0010352631625707785,0.001257314926201005,0.0034898918479596376,0.004134802370289875,0.00325683186807211,0.0034618917725220398,0.0035772746584792395,0.003544541262003275,0.0034727419550479644,0.0034767344862741616,0.001721013653756737,0.0017352265323348245,0.0017955398001124276,0.0020404722786564102,0.0017064578621662746,0.0017299326745226432,0.0018094099668000561,0.002052209559834993,0.0024887353574129275,0.001864682282547176,0.00961313171043473,0.009634995941925257,0.010211024045504495,0.001979024210981283,0.0023115063267146047,0.00962169490875074,0.0035177028514479613,0.003624758986317493,0.0038463047147260527,0.003975935343453725,0.0034349666104164732,0.0035449317963614215,0.0035695374548893924,0.003838893516679568,0.0035993684193515356,0.003745768653019085,0.004017485073415461,0.005206601932848716,0.0386614074754893,0.003780101106039062,0.00461922641073247,0.03822383392064726,0.006182362083745659,0.006444217348569806,0.006654048355328688,0.007236812476865688,0.006173710883202288,0.006373682547176364,0.00667718022746678,0.007365571507553926,0.006577831438495906,0.0065381455885138605,0.008460342631540933,0.01239174135279522,0.006540080540547703,0.006877926886765554,0.007348020961253315,0.00795456287404754
4,0.0009125780950523878,0.0009430002891438287,0.0009758347000049854,0.0009940613258979862,0.0026579219535592604,0.0009320132000726493,0.0009890420207277692,0.0011437232186206946,0.003697397924540521,0.00355161884530113,0.001364684155337114,0.0034614670112386196,0.003608128502605546,0.0034772549569259056,0.0035042648200195895,0.003586438705736947,0.0016554585947548472,0.0016865634071314968,0.0017811269980081501,0.0018995498788927621,0.0016507408345618755,0.0016956369600629095,0.0017723763710240004,0.0019623842446564407,0.009632360203196855,0.004043465470211313,0.00933073450688421,0.009621221428523907,0.00603925178396764,0.0017917621897431536,0.0019671537134963186,0.00963752385256673,0.0033796413001884675,0.0035265301679207133,0.003708371793821139,0.0038178089104907876,0.0033353459916242484,0.003468543265012569,0.0034970031348659438,0.0037197044990326636,0.0034927042310801213,0.003573505243827782,0.003858566075385043,0.004469978785841953,0.016406459433185746,0.0036695246624122253,0.004576302444810205,0.028981343727206708,0.006038270720564481,0.006241292862381552,0.006435597948475152,0.006895679368901609,0.006040130334712363,0.006199314552820018,0.006444238426293529,0.007047735445377468,0.006243268925020656,0.006493784555198663,0.007766985552227912,0.009108692244279072,0.0062484889708046614,0.006575176093754009,0.006976196330402102,0.0072972848223735445
5,0.0008904783917721268,0.000915375690879422,0.0009570805915829433,0.0009660655274971004,0.0010040031622549177,0.0009079309477466179,0.0009712051988703277,0.0010792438429664468,0.0034649550241997616,0.0035313478031780456,0.0022593527378263045,0.003460521264168531,0.003547351655396385,0.001884050640301036,0.0035033958610170405,0.003601596177560254,0.0016126835619582347,0.0016556340556617248,0.0017023526480483976,0.0018329523974075098,0.0016187852211555984,0.0016625958678339258,0.0017416668883223662,0.0019003513737683607,0.012564177068928359,0.009618506951149791,0.004328259990020048,0.009652858400782246,0.002049466383654608,0.009215329425347425,0.0018502209516269947,0.009336980000666496,0.003292380310205173,0.003448116987730378,0.003616401716888377,0.003723052501752602,0.0033020744778450963,0.0033969922626840778,0.0034420165324245407,0.003619721835822015,0.0034074324552448615,0.0035036766455945165,0.003698873275425285,0.003902726452241638,0.0038589489281901012,0.0035313620211327055,0.004360548206384929,0.008102473197041533,0.0059458840439989445,0.0061030043067390885,0.0062815909116385295,0.006690487028122764,0.0059513384120137664,0.006087628200443899,0.00627801787868068,0.006827077455355308,0.0061042329584591265,0.006296842730637146,0.0075043265520136305,0.008284072431073111,0.006064925369827748,0.006301936082363444,0.006806445570977692,0.006965171206344049
6,0.0008723879376719243,0.0008977147008454069,0.0009339258045946197,0.0009576038188713403,0.0009083572555537873,0.00089041666256979,0.0009414107180102056,0.0010393731441147235,0.003464891975212215,0.0035224787567237387,0.003511203211426401,0.0034610753460782603,0.0023168110662926053,0.0021065845482101213,0.0014901341078687107,0.003643971948365482,0.0015841263415107263,0.00163364108108122,0.001663647696754631,0.0017982455180721609,0.001594381778722138,0.0016426855614773961,0.0017141130850163858,0.0018535659498470228,0.009613831821160082,0.008047606342969962,0.002337698981951255,0.009624130219981,0.0018007950113064222,0.009637674432672102,0.0018221396468962028,0.003675734310350682,0.0032346497574334727,0.0033926312522916326,0.0035385562101754348,0.0036706580555724414,0.0032521818507509986,0.0033453428499428434,0.0033936932363283277,0.00355359791159463,0.003434198392483232,0.003452387062326194,0.0036679600882089107,0.0037834373834445627,0.003607461984235117,0.003415299154190415,0.004289404535434436,0.0048226335801795795,0.00588418801133676,0.0060089367058466575,0.006181894788525498,0.006562298042143681,0.00589545420581145,0.006002577533887487,0.00617448711682074,0.006665943519430078,0.0059789526863258426,0.00608435670098182,0.0073060219845646505,0.009136570056909649,0.0059499181598341435,0.0061365722967792755,0.00658541287999804,0.007711729863009865
7,0.0008607441361558688,0.000943152484736552,0.0009164199257959885,0.0009420053133930992,0.0008910226135371485,0.000876411087380684,0.0009269906495047956,0.0010171460612695572,0.003462430013043976,0.0035241849272203,0.003529344245777535,0.0034615650497358385,0.0009444498045339837,0.0034697634436296762,0.001017359808994925,0.0036505823480011664,0.00157170243313763,0.001603598373948742,0.0016421965667711507,0.001776572461680171,0.0015724918632342,0.0016148668295076765,0.001695502106626217,0.0018254690760148883,0.009612576074265187,0.0018056580118340044,0.001993839135966889,0.009615146487821542,0.0018346901382866017,0.009670451153058144,0.0018074604748071759,0.0023612516291615605,0.00320314803117103,0.0033348059905727707,0.003505210006442755,0.003593742647046103,0.0032187521959239906,0.0033010206472588784,0.0033597846482752995,0.0034976528177908923,0.0034111193049540514,0.003348025843294195,0.0036846597986504325,0.003654608896247746,0.0034851489071289314,0.003393327761974647,0.003891164787051115,0.0042487214717884265,0.005840291234050404,0.005931466923911859,0.00608532329203459,0.006450148556492666,0.005849097368821624,0.005939617795625142,0.006083394397589939,0.006556684396864467,0.005941345102124442,0.005956275669675884,0.007164594947258521,0.007479655185705097,0.005856296345979959,0.006092124646407852,0.006543021514173134,0.006789354670014399
8,0.0008530764082883514,0.0008753704001090252,0.0009023962440044476,0.0009591923702267272,0.0008677398019393896,0.0008628296989810786,0.000912995824595538,0.0009984227790165953,0.0034592972577477342,0.003475274438329398,0.0035199460927373845,0.003464184247944226,0.0008875306905232778,0.0035023701814187003,0.0009914425322473217,0.0036829081717276234,0.0015557061578574658,0.001586342856995576,0.0016346929484250868,0.0017342836305323005,0.0015587419115813896,0.0016004101680194716,0.0016683636553787085,0.001799700638645361,0.009615339742555467,0.0017659689261584977,0.006044395685552698,0.0072747214160980055,0.0016453871645141767,0.009647992465067852,0.0017457857924346714,0.0021722822612851153,0.003177843918248349,0.0032934869631461904,0.003439614754309183,0.0035537534737403492,0.00319613126920924,0.0032679200839331258,0.00333439912884473,0.003459080299061366,0.003256440728575564,0.003295784867580171,0.0034231315856331507,0.0036384834443446046,0.0034036983676365476,0.0033243457225598187,0.0036466490322103104,0.004016746257765413,0.0058050018760158,0.005869185412911131,0.006025980966309298,0.006400327472739033,0.005814045244777721,0.005886698741084469,0.006039106036566513,0.006429210555419993,0.005793986386375156,0.006024748081858337,0.0068412834554864325,0.007086803309563825,0.005805160186143051,0.005949557947798145,0.006341872767508215,0.006520084467999155
9,0.0008535272213321676,0.0008707289979083193,0.0008933257494169283,0.0009229073377119943,0.0008571068608906257,0.0009421168960684212,0.0009007363517036596,0.000979118292979822,0.0034597975382632947,0.0034687403256540702,0.0034765799345091836,0.0034201519253353276,0.0008665273592977935,0.0034839237591584387,0.0009540710632981205,0.003682473903192921,0.0015481366234288893,0.0015673509155073816,0.0019923066594394676,0.001751532251379031,0.0015469186717845496,0.001582353275265503,0.0016686628475340445,0.001794151914889799,0.009610461107945929,0.0016625151956018104,0.010209736179106345,0.0027938924245628997,0.0016098727202447293,0.009134567021053254,0.0017050615474477465,0.0027384145755265186,0.003156971903297548,0.0032649672388515823,0.0034613186514945654,0.003507301383952967,0.0031768614342557937,0.0032393283935990497,0.0033141272666688025,0.003436026223634013,0.003390188520302352,0.0032673459520358326,0.0034021695830224463,0.0035379393054033393,0.003330927628595086,0.003284946297945637,0.0035585838845532515,0.004018919326976609,0.005772453141690038,0.00583201777288492,0.005970315294472306,0.006312046100417921,0.005783022885904159,0.005855082870097675,0.00601630465275798,0.006364996246159521,0.005745971705273218,0.005825355131609114,0.006690462928992784,0.007043511534934465,0.005742512163980042,0.005885603893449728,0.006312274874479913,0.006524660697540463
10,0.0008411474110866027,0.0008559040344907312,0.000884911655092181,0.0009129440602475768,0.0008498653682716043,0.0009471460791912067,0.0008913188282544006,0.0009711065663508978,0.003460333663465874,0.003298239082439357,0.00347701138243385,0.0025800562409257783,0.0008625984836834689,0.00354661043735097,0.0032438026916059614,0.003694253539277324,0.001548574723488394,0.0015559448911947522,0.0016518929298209555,0.0017272061792860244,0.0015392544230204475,0.001567623275056871,0.0016633576188764688,0.0017685718705242879,0.009612899270155628,0.009585368550164067,0.00962253445898419,0.0021628411646019575,0.0015906136299218545,0.0019368671236343,0.001650061251581716,0.00231225506850838,0.0031518624944251797,0.0032376130102097977,0.0033671599830181072,0.003476766775598499,0.00315849296201526,0.003214442055610396,0.0032715151078920274,0.0033994142339096884,0.0032608420970329974,0.003216779721273757,0.003394753554898467,0.0034952521299832125,0.00328871735996734,0.0032635177041571437,0.0035706477946907617,0.0038116072566336512,0.005754085475842097,0.005802703083347351,0.005928059729437034,0.006250979083437306,0.005766005745291515,0.005821468303497016,0.0059491446425915875,0.0063150785145215434,0.005736659512192201,0.005762837233755555,0.006707342591748309,0.006856528863737091,0.005693177107906788,0.005829495463610697,0.006167913743628383,0.006335431223373805
