Name,Sigma,Kernel,Activation,Batch Size,Domain,Val PSNR,Val SSIM,Val RMSE,Val MAE,Set12 PSNR,Set12 SSIM,Set12 RMSE,Set12 MAE,Runtime (min)
sigma15_k3_actrelu_bs8_image,15,3,relu,8,image,31.6076,0.8934,0.02801,0.01944,32.6051,0.9022,0.02363,0.01677,29.8
sigma15_k3_actrelu_bs8_fourier_complex,15,3,relu,8,fourier_complex,51.1383,0.9983,0.00310,0.00174,50.6200,0.9980,0.00321,0.00174,31.0
sigma15_k3_actrelu_bs16_image,15,3,relu,16,image,31.6762,0.8944,0.02788,0.01935,32.7008,0.9028,0.02342,0.01667,28.7
sigma15_k3_actrelu_bs16_fourier_complex,15,3,relu,16,fourier_complex,51.0059,0.9979,0.00314,0.00172,50.4830,0.9977,0.00325,0.00170,29.5
sigma15_k3_actrelu_bs32_image,15,3,relu,32,image,31.6100,0.8921,0.02806,0.01954,32.6278,0.9005,0.02361,0.01684,28.2
sigma15_k3_actrelu_bs32_fourier_complex,15,3,relu,32,fourier_complex,50.2272,0.9970,0.00360,0.00202,50.0304,0.9970,0.00342,0.00181,28.7
sigma15_k3_actrelu_bs64_image,15,3,relu,64,image,31.4540,0.8870,0.02846,0.01998,32.4121,0.8949,0.02419,0.01738,28.3
sigma15_k3_actrelu_bs64_fourier_complex,15,3,relu,64,fourier_complex,50.1932,0.9971,0.00338,0.00184,49.8111,0.9968,0.00350,0.00183,29.2
sigma15_k3_actleakyrelu_bs8_image,15,3,leakyrelu,8,image,31.6639,0.8934,0.02792,0.01936,32.6938,0.9021,0.02344,0.01666,29.8
sigma15_k3_actleakyrelu_bs8_fourier_complex,15,3,leakyrelu,8,fourier_complex,51.1216,0.9982,0.00309,0.00170,50.6338,0.9979,0.00320,0.00169,31.0
sigma15_k3_actleakyrelu_bs16_image,15,3,leakyrelu,16,image,31.6356,0.8933,0.02800,0.01946,32.6577,0.9018,0.02353,0.01675,28.9
sigma15_k3_actleakyrelu_bs16_fourier_complex,15,3,leakyrelu,16,fourier_complex,51.0878,0.9980,0.00312,0.00166,50.6304,0.9977,0.00321,0.00163,29.6
sigma15_k3_actleakyrelu_bs32_image,15,3,leakyrelu,32,image,31.5937,0.8913,0.02811,0.01957,32.6018,0.8997,0.02368,0.01688,28.3
sigma15_k3_actleakyrelu_bs32_fourier_complex,15,3,leakyrelu,32,fourier_complex,50.8535,0.9978,0.00319,0.00169,50.4198,0.9975,0.00329,0.00167,29.1
sigma15_k3_actleakyrelu_bs64_image,15,3,leakyrelu,64,image,31.3296,0.8836,0.02881,0.02028,32.2467,0.8905,0.02466,0.01774,28.9
sigma15_k3_actleakyrelu_bs64_fourier_complex,15,3,leakyrelu,64,fourier_complex,49.4709,0.9962,0.00365,0.00208,49.3312,0.9967,0.00368,0.00198,29.7
sigma15_k5_actrelu_bs8_image,15,5,relu,8,image,29.9266,0.8263,0.03282,0.02458,30.3847,0.8243,0.03040,0.02307,54.1
sigma15_k5_actrelu_bs8_fourier_complex,15,5,relu,8,fourier_complex,51.8414,0.9989,0.00293,0.00145,51.2895,0.9986,0.00304,0.00145,57.0
sigma15_k5_actrelu_bs16_image,15,5,relu,16,image,31.5275,0.8915,0.02830,0.01974,32.4877,0.8987,0.02398,0.01715,52.4
sigma15_k5_actrelu_bs16_fourier_complex,15,5,relu,16,fourier_complex,49.9021,0.9966,0.00914,0.00193,50.5068,0.9976,0.00327,0.00168,53.1
sigma15_k5_actrelu_bs32_image,15,5,relu,32,image,31.4541,0.8877,0.02848,0.01995,32.4098,0.8960,0.02420,0.01734,52.4
sigma15_k5_actrelu_bs32_fourier_complex,15,5,relu,32,fourier_complex,50.2961,0.9979,0.00335,0.00178,49.9118,0.9975,0.00350,0.00179,53.6
sigma15_k5_actrelu_bs64_image,15,5,relu,64,image,31.2803,0.8839,0.02899,0.02043,31.5785,0.8901,0.02977,0.01842,51.1
sigma15_k5_actrelu_bs64_fourier_complex,15,5,relu,64,fourier_complex,50.1252,0.9966,0.00376,0.00185,49.8720,0.9963,0.00349,0.00184,51.7
sigma15_k5_actleakyrelu_bs8_image,15,5,leakyrelu,8,image,31.6768,0.8939,0.02788,0.01934,32.7005,0.9025,0.02342,0.01665,56.2
sigma15_k5_actleakyrelu_bs8_fourier_complex,15,5,leakyrelu,8,fourier_complex,51.6429,0.9986,0.00299,0.00145,51.1663,0.9983,0.00308,0.00143,57.3
sigma15_k5_actleakyrelu_bs16_image,15,5,leakyrelu,16,image,31.4700,0.8888,0.02843,0.01990,32.4201,0.8963,0.02417,0.01731,52.8
sigma15_k5_actleakyrelu_bs16_fourier_complex,15,5,leakyrelu,16,fourier_complex,50.1535,0.9918,0.00549,0.00209,50.3881,0.9974,0.00333,0.00168,53.6
